locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEGBENGL_00001	CDS	1194	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
DEGBENGL_00002	CDS	423				hypothetical protein
DEGBENGL_00003	CDS	345				hypothetical protein
DEGBENGL_00004	CDS	504				hypothetical protein
DEGBENGL_00005	CDS	702	clpV1		COG0542	Protein ClpV1
DEGBENGL_00006	CDS	549				hypothetical protein
DEGBENGL_00007	CDS	1335				hypothetical protein
DEGBENGL_00008	CDS	585	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
DEGBENGL_00009	CDS	930	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
DEGBENGL_00010	CDS	867	zapE_1		COG1485	Cell division protein ZapE
DEGBENGL_00011	CDS	885	yeaW_1	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
DEGBENGL_00012	CDS	897	hicd_1	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
DEGBENGL_00013	CDS	246				hypothetical protein
DEGBENGL_00014	CDS	198	aspS2	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
DEGBENGL_00015	CDS	648				hypothetical protein
DEGBENGL_00016	CDS	471				hypothetical protein
DEGBENGL_00017	CDS	642				hypothetical protein
DEGBENGL_00018	CDS	309				hypothetical protein
DEGBENGL_00019	CDS	1200	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
DEGBENGL_00020	CDS	201				hypothetical protein
DEGBENGL_00021	CDS	222				hypothetical protein
DEGBENGL_00022	CDS	699				hypothetical protein
DEGBENGL_00023	CDS	807				hypothetical protein
DEGBENGL_00024	CDS	1146				hypothetical protein
DEGBENGL_00025	CDS	336				hypothetical protein
DEGBENGL_00026	CDS	843	dppC		COG1173	Dipeptide transport system permease protein DppC
DEGBENGL_00027	CDS	993	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
DEGBENGL_00028	CDS	288				hypothetical protein
DEGBENGL_00029	CDS	750	eryG	2.1.1.254		Erythromycin 3''-O-methyltransferase
DEGBENGL_00030	CDS	474				hypothetical protein
DEGBENGL_00031	CDS	1602				hypothetical protein
DEGBENGL_00032	CDS	267				hypothetical protein
DEGBENGL_00033	CDS	525				hypothetical protein
DEGBENGL_00034	CDS	288				hypothetical protein
DEGBENGL_00035	CDS	1461	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
DEGBENGL_00036	CDS	264	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
DEGBENGL_00037	CDS	1290	murA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
DEGBENGL_00038	CDS	282				hypothetical protein
DEGBENGL_00039	CDS	897				hypothetical protein
DEGBENGL_00040	CDS	1542				hypothetical protein
DEGBENGL_00041	CDS	909	bepF			Efflux pump periplasmic linker BepF
DEGBENGL_00042	CDS	801				hypothetical protein
DEGBENGL_00043	CDS	864	nnr_1		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
DEGBENGL_00044	CDS	255				hypothetical protein
DEGBENGL_00045	CDS	222				hypothetical protein
DEGBENGL_00046	CDS	924				hypothetical protein
DEGBENGL_00047	CDS	408				hypothetical protein
DEGBENGL_00048	CDS	315				hypothetical protein
DEGBENGL_00049	CDS	309				hypothetical protein
DEGBENGL_00050	CDS	255				hypothetical protein
DEGBENGL_00051	CDS	282				hypothetical protein
DEGBENGL_00052	CDS	576				hypothetical protein
DEGBENGL_00053	CDS	330				hypothetical protein
DEGBENGL_00054	CDS	411				hypothetical protein
DEGBENGL_00055	CDS	3261				hypothetical protein
DEGBENGL_00056	CDS	996	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DEGBENGL_00057	CDS	2088	actP_1			Cation/acetate symporter ActP
DEGBENGL_00058	CDS	981				hypothetical protein
