locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCGGBFIB_00001	CDS	1458	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
GCGGBFIB_00002	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
GCGGBFIB_00003	CDS	624	ppiA_1	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
GCGGBFIB_00004	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
GCGGBFIB_00005	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
GCGGBFIB_00006	CDS	360	rbfA			Ribosome-binding factor A
GCGGBFIB_00007	CDS	1056	pyk	2.7.1.40		Pyruvate kinase
GCGGBFIB_00008	CDS	204				hypothetical protein
GCGGBFIB_00009	CDS	537	nuoC	7.1.1.-	COG0852	NADH-quinone oxidoreductase subunit C
GCGGBFIB_00010	CDS	498	nuoB_1	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
GCGGBFIB_00011	CDS	369	ndhC_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
GCGGBFIB_00012	CDS	411	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
GCGGBFIB_00013	CDS	855	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
GCGGBFIB_00014	CDS	438	ssb		COG0629	Single-stranded DNA-binding protein
GCGGBFIB_00015	CDS	1257	thrC	4.2.3.1	COG0498	Threonine synthase
GCGGBFIB_00016	CDS	621	betI			HTH-type transcriptional regulator BetI
GCGGBFIB_00017	CDS	327				hypothetical protein
GCGGBFIB_00018	CDS	180				hypothetical protein
GCGGBFIB_00019	CDS	498	fur_1		COG0735	Ferric uptake regulation protein
GCGGBFIB_00020	CDS	1026	mntA		COG0803	Manganese-binding lipoprotein MntA
GCGGBFIB_00021	CDS	792	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
GCGGBFIB_00022	CDS	867	mntB_2			Manganese transport system membrane protein MntB
GCGGBFIB_00023	CDS	468				hypothetical protein
GCGGBFIB_00024	CDS	2235		2.7.3.13	COG0574	L-glutamine kinase
GCGGBFIB_00025	CDS	1356	trpB	4.2.1.20		Tryptophan synthase beta chain
GCGGBFIB_00026	CDS	729	bceA		COG1136	Bacitracin export ATP-binding protein BceA
