locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJDFIKED_00001	CDS	375				hypothetical protein
EJDFIKED_00002	CDS	1851	rho	3.6.4.-		Transcription termination factor Rho
EJDFIKED_00003	CDS	393				hypothetical protein
EJDFIKED_00004	CDS	726	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EJDFIKED_00005	CDS	918	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
EJDFIKED_00006	CDS	510				hypothetical protein
EJDFIKED_00007	CDS	969				hypothetical protein
EJDFIKED_00008	CDS	531				hypothetical protein
EJDFIKED_00009	CDS	801				hypothetical protein
EJDFIKED_00010	CDS	534	apt	2.4.2.7		Adenine phosphoribosyltransferase
EJDFIKED_00011	CDS	1185	secF			Protein-export membrane protein SecF
EJDFIKED_00012	CDS	198	secD			Protein translocase subunit SecD
EJDFIKED_00013	CDS	405				hypothetical protein
EJDFIKED_00014	CDS	939	noc_1			Nucleoid occlusion protein
EJDFIKED_00015	CDS	201				hypothetical protein
EJDFIKED_00016	CDS	177				hypothetical protein
EJDFIKED_00017	CDS	969	egtB	1.14.99.50		Hercynine oxygenase
EJDFIKED_00018	CDS	1236		1.3.1.101	COG0644	Digeranylgeranylglycerophospholipid reductase
EJDFIKED_00019	CDS	831				hypothetical protein
EJDFIKED_00020	CDS	738	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EJDFIKED_00021	CDS	1518	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EJDFIKED_00022	CDS	921				hypothetical protein
EJDFIKED_00023	CDS	591				hypothetical protein
EJDFIKED_00024	CDS	1224				hypothetical protein
EJDFIKED_00025	CDS	957	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
EJDFIKED_00026	CDS	858				hypothetical protein
EJDFIKED_00027	CDS	936	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EJDFIKED_00028	CDS	1071	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
EJDFIKED_00029	CDS	804	crtD_1	1.3.99.37		Carotenoid 3,4-desaturase
EJDFIKED_00030	CDS	1113				hypothetical protein
EJDFIKED_00031	CDS	438	plsY_1	2.3.1.275		Glycerol-3-phosphate acyltransferase
EJDFIKED_00032	CDS	564				hypothetical protein
EJDFIKED_00033	CDS	147				hypothetical protein
