locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMHGPODL_00001	CDS	186				hypothetical protein
NMHGPODL_00002	CDS	756	zupT			Zinc transporter ZupT
NMHGPODL_00003	CDS	777	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
NMHGPODL_00004	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase
NMHGPODL_00005	CDS	2070	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
NMHGPODL_00006	CDS	531	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
NMHGPODL_00007	CDS	1341	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
NMHGPODL_00008	CDS	948	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
NMHGPODL_00009	CDS	657	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
NMHGPODL_00010	CDS	1068				hypothetical protein
NMHGPODL_00011	CDS	675	ccsA			Cytochrome c biogenesis protein CcsA
NMHGPODL_00012	CDS	663				hypothetical protein
NMHGPODL_00013	CDS	687	bcrA			Bacitracin transport ATP-binding protein BcrA
NMHGPODL_00014	CDS	270				hypothetical protein
NMHGPODL_00015	CDS	1968	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
NMHGPODL_00016	CDS	432	ccmE			Cytochrome c-type biogenesis protein CcmE
NMHGPODL_00017	CDS	1659	mcm_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
NMHGPODL_00018	CDS	1716	cstA		COG1966	Peptide transporter CstA
NMHGPODL_00019	CDS	1749	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
NMHGPODL_00020	tmRNA	316	ssrA			transfer-messenger RNA, SsrA
NMHGPODL_00021	tRNA	74				tRNA-Met(cat)
NMHGPODL_00022	CDS	504				hypothetical protein
NMHGPODL_00023	CDS	390			COG2852	putative protein
NMHGPODL_00024	CDS	1938	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
NMHGPODL_00025	CDS	561				hypothetical protein
NMHGPODL_00026	CDS	747	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
NMHGPODL_00027	CDS	726	fetB		COG0390	putative iron export permease protein FetB
NMHGPODL_00028	CDS	315				hypothetical protein
NMHGPODL_00029	tRNA	75				tRNA-Val(cac)
NMHGPODL_00030	CDS	90				hypothetical protein
NMHGPODL_00031	CDS	2760	btuB_1			Vitamin B12 transporter BtuB
NMHGPODL_00032	CDS	1563				hypothetical protein
NMHGPODL_00033	CDS	417				hypothetical protein
NMHGPODL_00034	CDS	1749	dnaG	2.7.7.-		DNA primase
NMHGPODL_00035	CDS	543				hypothetical protein
NMHGPODL_00036	CDS	444	yqeY		COG1610	putative protein YqeY
NMHGPODL_00037	CDS	822	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
NMHGPODL_00038	CDS	501	arsC	1.20.4.4	COG0394	Arsenate reductase
NMHGPODL_00039	CDS	3228				hypothetical protein
NMHGPODL_00040	CDS	2109				hypothetical protein
NMHGPODL_00041	CDS	690				hypothetical protein
NMHGPODL_00042	CDS	933				hypothetical protein
NMHGPODL_00043	CDS	2244				hypothetical protein
NMHGPODL_00044	CDS	657				hypothetical protein
NMHGPODL_00045	CDS	381	cdd	3.5.4.5	COG0295	Cytidine deaminase
NMHGPODL_00046	CDS	633	udk	2.7.1.48	COG0572	Uridine kinase
NMHGPODL_00047	CDS	567	tdk	2.7.1.21	COG1435	Thymidine kinase
NMHGPODL_00048	CDS	1221	nupX		COG1972	Putative nucleoside permease NupX
NMHGPODL_00049	CDS	561	adk	2.7.4.3	COG0563	Adenylate kinase
NMHGPODL_00050	CDS	594	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
NMHGPODL_00051	CDS	480				hypothetical protein
NMHGPODL_00052	CDS	1008				hypothetical protein
NMHGPODL_00053	CDS	1386				hypothetical protein
NMHGPODL_00054	CDS	864	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
NMHGPODL_00055	CDS	567	yciO		COG0009	putative protein YciO
NMHGPODL_00056	CDS	708				hypothetical protein
NMHGPODL_00057	CDS	1170				hypothetical protein
NMHGPODL_00058	CDS	1149	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
NMHGPODL_00059	CDS	690				hypothetical protein
NMHGPODL_00060	CDS	435	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
NMHGPODL_00061	CDS	441	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
NMHGPODL_00062	CDS	954	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
NMHGPODL_00063	CDS	1056	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
NMHGPODL_00064	CDS	534				hypothetical protein
NMHGPODL_00065	CDS	2391	bamA_1		COG4775	Outer membrane protein assembly factor BamA
NMHGPODL_00066	CDS	753	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
NMHGPODL_00067	CDS	288				hypothetical protein
NMHGPODL_00068	CDS	792				hypothetical protein
NMHGPODL_00069	CDS	1119				Iron-sulfur cluster carrier protein
NMHGPODL_00070	CDS	306	fdxA			Ferredoxin 7Fe
NMHGPODL_00071	CDS	1188	bacE			Putative bacilysin exporter BacE
NMHGPODL_00072	CDS	336				hypothetical protein
NMHGPODL_00073	CDS	1437	glpK	2.7.1.30		Glycerol kinase
NMHGPODL_00074	CDS	213				hypothetical protein
NMHGPODL_00075	CDS	687	gph_1	3.1.3.18		Phosphoglycolate phosphatase
NMHGPODL_00076	CDS	1131	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
NMHGPODL_00077	CDS	1341	pepC	3.4.22.40	COG3579	Aminopeptidase C
NMHGPODL_00078	CDS	417				hypothetical protein
NMHGPODL_00079	CDS	726	plsC_1	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
NMHGPODL_00080	CDS	1080	mutY	3.2.2.31		Adenine DNA glycosylase
NMHGPODL_00081	CDS	426				hypothetical protein
NMHGPODL_00082	CDS	330	csaA		COG0073	putative chaperone CsaA
NMHGPODL_00083	CDS	1218		3.1.1.3		Lipase
NMHGPODL_00084	CDS	1368				hypothetical protein
NMHGPODL_00085	CDS	1011	glnB	6.3.1.2		Glutamine synthetase
NMHGPODL_00086	CDS	462	lrp		COG1522	Leucine-responsive regulatory protein
NMHGPODL_00087	CDS	2748				hypothetical protein
NMHGPODL_00088	CDS	900				hypothetical protein
NMHGPODL_00089	CDS	2229	priA	3.6.4.-	COG1198	Primosomal protein N'
NMHGPODL_00090	CDS	444	rplI		COG0359	50S ribosomal protein L9
NMHGPODL_00091	CDS	228	rpsR		COG0238	30S ribosomal protein S18
NMHGPODL_00092	CDS	474				hypothetical protein
NMHGPODL_00093	CDS	2148	hppA1	7.2.3.-	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
NMHGPODL_00094	CDS	555	pth	3.1.1.29		Peptidyl-tRNA hydrolase
NMHGPODL_00095	CDS	693	ctc		COG1825	General stress protein CTC
NMHGPODL_00096	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
NMHGPODL_00097	tRNA	72				tRNA-Gln(ttg)
NMHGPODL_00098	CDS	741	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NMHGPODL_00099	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
NMHGPODL_00100	CDS	672	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NMHGPODL_00101	CDS	1053	queA	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NMHGPODL_00102	CDS	1026	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NMHGPODL_00103	CDS	2322				hypothetical protein
NMHGPODL_00104	CDS	2850	uvrA			UvrABC system protein A
NMHGPODL_00105	CDS	558				hypothetical protein
NMHGPODL_00106	CDS	903	impX			Riboflavin transporter ImpX
NMHGPODL_00107	CDS	1254				hypothetical protein
NMHGPODL_00108	CDS	375				hypothetical protein
NMHGPODL_00109	CDS	783	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
NMHGPODL_00110	CDS	546	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NMHGPODL_00111	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
NMHGPODL_00112	CDS	477				hypothetical protein
NMHGPODL_00113	CDS	576				hypothetical protein
NMHGPODL_00114	CDS	990	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
NMHGPODL_00115	CDS	579				hypothetical protein
NMHGPODL_00116	CDS	1119	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
NMHGPODL_00117	CDS	648				hypothetical protein
NMHGPODL_00118	CDS	1032	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
NMHGPODL_00119	CDS	3663				hypothetical protein
NMHGPODL_00120	CDS	2055				hypothetical protein
NMHGPODL_00121	CDS	921				hypothetical protein
NMHGPODL_00122	CDS	1608				hypothetical protein
NMHGPODL_00123	CDS	621	tolQ			Tol-Pal system protein TolQ
NMHGPODL_00124	CDS	396	tolR			Tol-Pal system protein TolR
NMHGPODL_00125	CDS	411				hypothetical protein
NMHGPODL_00126	CDS	618				hypothetical protein
NMHGPODL_00127	CDS	747	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
NMHGPODL_00128	CDS	1911	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
NMHGPODL_00129	CDS	669				hypothetical protein
NMHGPODL_00130	CDS	411				hypothetical protein
NMHGPODL_00131	CDS	1299	egtA	6.3.2.2		Glutamate--cysteine ligase EgtA
NMHGPODL_00132	CDS	1038				hypothetical protein
NMHGPODL_00133	CDS	939	dppB		COG0601	Dipeptide transport system permease protein DppB
NMHGPODL_00134	CDS	1527	hbpA		COG0747	Heme-binding protein A
NMHGPODL_00135	CDS	933	fliG		COG1536	Flagellar motor switch protein FliG
NMHGPODL_00136	CDS	1518				hypothetical protein
NMHGPODL_00137	CDS	795	pal			Peptidoglycan-associated lipoprotein
NMHGPODL_00138	CDS	768	pomA_1		COG1291	Chemotaxis protein PomA
NMHGPODL_00139	CDS	1416				hypothetical protein
NMHGPODL_00140	CDS	891	cpoB_1			Cell division coordinator CpoB
NMHGPODL_00141	CDS	1173				hypothetical protein
NMHGPODL_00142	CDS	1323				hypothetical protein
NMHGPODL_00143	CDS	1443				hypothetical protein
NMHGPODL_00144	CDS	573				hypothetical protein
NMHGPODL_00145	CDS	933	phhA	1.14.16.1	COG3186	Phenylalanine-4-hydroxylase
NMHGPODL_00146	CDS	324				hypothetical protein
NMHGPODL_00147	CDS	963	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
NMHGPODL_00148	CDS	1479	ald_1	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
NMHGPODL_00149	CDS	843				hypothetical protein
NMHGPODL_00150	CDS	132				hypothetical protein
NMHGPODL_00151	CDS	2697	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
NMHGPODL_00152	CDS	1410	pyk	2.7.1.40		Pyruvate kinase
NMHGPODL_00153	CDS	384	apaG		COG2967	Protein ApaG
NMHGPODL_00154	CDS	1764				hypothetical protein
NMHGPODL_00155	CDS	855				hypothetical protein
NMHGPODL_00156	CDS	714				hypothetical protein
NMHGPODL_00157	CDS	396	ssb		COG0629	Single-stranded DNA-binding protein
NMHGPODL_00158	CDS	2148				hypothetical protein
NMHGPODL_00159	CDS	5709				hypothetical protein
NMHGPODL_00160	CDS	567	lexA	3.4.21.88		LexA repressor
NMHGPODL_00161	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NMHGPODL_00162	CDS	1644	yidC			Membrane protein insertase YidC
NMHGPODL_00163	CDS	1323	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
NMHGPODL_00164	CDS	1875	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NMHGPODL_00165	CDS	3069	mfd	3.6.4.-		Transcription-repair-coupling factor
NMHGPODL_00166	CDS	723				hypothetical protein
NMHGPODL_00167	CDS	1284	surA_1	5.2.1.8	COG0760	Chaperone SurA
NMHGPODL_00168	CDS	1116	dnaN		COG0592	Beta sliding clamp
NMHGPODL_00169	CDS	1095	recF		COG1195	DNA replication and repair protein RecF
NMHGPODL_00170	CDS	276				hypothetical protein
NMHGPODL_00171	CDS	1980	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
NMHGPODL_00172	CDS	2502	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
