locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGJGFMG_00001	CDS	525				hypothetical protein
KAGJGFMG_00002	CDS	708			COG1136	putative ABC transporter ATP-binding protein
KAGJGFMG_00003	CDS	1260				hypothetical protein
KAGJGFMG_00004	CDS	873				hypothetical protein
KAGJGFMG_00005	CDS	345				hypothetical protein
KAGJGFMG_00006	CDS	1449	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
KAGJGFMG_00007	CDS	1119				hypothetical protein
KAGJGFMG_00008	CDS	2130	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
KAGJGFMG_00009	CDS	2304	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KAGJGFMG_00010	CDS	687				hypothetical protein
KAGJGFMG_00011	CDS	2277				hypothetical protein
KAGJGFMG_00012	CDS	1407				hypothetical protein
KAGJGFMG_00013	CDS	663				hypothetical protein
KAGJGFMG_00014	CDS	1005				hypothetical protein
KAGJGFMG_00015	CDS	897	scpA			Segregation and condensation protein A
KAGJGFMG_00016	CDS	1215				hypothetical protein
KAGJGFMG_00017	CDS	681				hypothetical protein
KAGJGFMG_00018	CDS	627	sua5_1	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
KAGJGFMG_00019	CDS	903				hypothetical protein
KAGJGFMG_00020	CDS	735				hypothetical protein
KAGJGFMG_00021	CDS	564	yciB			intracellular septation protein A
KAGJGFMG_00022	CDS	300				hypothetical protein
KAGJGFMG_00023	CDS	819	prsA	5.2.1.8		Foldase protein PrsA
KAGJGFMG_00024	CDS	288				hypothetical protein
KAGJGFMG_00025	CDS	1017	rpoS			RNA polymerase sigma factor RpoS
KAGJGFMG_00026	CDS	771				hypothetical protein
KAGJGFMG_00027	CDS	579				hypothetical protein
KAGJGFMG_00028	CDS	657	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
KAGJGFMG_00029	CDS	747	surE1	3.1.3.5	COG0496	5'-nucleotidase SurE1
KAGJGFMG_00030	CDS	537	mutS2	3.1.-.-		Endonuclease MutS2
KAGJGFMG_00031	CDS	165				hypothetical protein
KAGJGFMG_00032	CDS	924				hypothetical protein
