contigName	contigLen	totalAvgDepth	220421_RR4342133_aln_sorted.bam	220421_RR4342133_aln_sorted.bam-var
k105_4 flag=1 multi=2.6342 len=2210	2210	18.4451	18.4451	47.6671
k105_86885 flag=1 multi=3.0000 len=1588	1588	9.29138	9.29138	9.3075
k105_19 flag=1 multi=2.9895 len=1813	1813	11.4732	11.4732	13.3974
k105_29 flag=0 multi=3.0000 len=2704	2704	13.8524	13.8524	16.0029
k105_32 flag=0 multi=3.3177 len=1745	1745	44.2934	44.2934	293.894
k105_86920 flag=0 multi=3.9832 len=1896	1896	14.4341	14.4341	18.9827
k105_46 flag=0 multi=12.0927 len=2229	2229	41.8923	41.8923	109.011
k105_86938 flag=0 multi=9.9542 len=2068	2068	36.0912	36.0912	37.1628
k105_51 flag=1 multi=3.0000 len=5162	5162	12.744	12.744	12.4258
k105_53 flag=0 multi=8.6628 len=2368	2368	60.9509	60.9509	220.599
k105_67 flag=1 multi=4.0000 len=2637	2637	12.6759	12.6759	24.2327
k105_69 flag=1 multi=3.0000 len=3756	3756	15.206	15.206	13.9039
k105_86943 flag=1 multi=8.0000 len=20073	20073	23.1371	23.1371	34.5103
k105_88 flag=1 multi=3.0000 len=1566	1566	8.90113	8.90113	5.3881
k105_86956 flag=1 multi=5.0000 len=6599	6599	13.9228	13.9228	14.4792
k105_86958 flag=1 multi=5.7480 len=2395	2395	37.1884	37.1884	36.1655
k105_97 flag=1 multi=3.0000 len=1647	1647	13.2745	13.2745	25.6686
k105_86961 flag=0 multi=11.4425 len=2505	2505	61.2119	61.2119	265.337
k105_105 flag=1 multi=4.0000 len=1695	1695	13.1683	13.1683	16.0662
k105_86964 flag=0 multi=64.2256 len=3004	3004	279.061	279.061	10648.6
k105_106 flag=0 multi=12.9190 len=1586	1586	38.4896	38.4896	117.29
k105_109 flag=0 multi=65.0956 len=1632	1632	362.478	362.478	2998.49
k105_117 flag=1 multi=5.5215 len=2082	2082	24.324	24.324	49.5156
k105_86977 flag=1 multi=2.9149 len=1633	1633	14.3466	14.3466	21.4425
k105_119 flag=0 multi=41.7351 len=2174	2174	243.333	243.333	56825.1
k105_124 flag=1 multi=3.0000 len=2013	2013	10.548	10.548	13.4648
k105_127 flag=1 multi=5.4421 len=1600	1600	21.7828	21.7828	30.9307
k105_86997 flag=0 multi=7.9064 len=1601	1601	46.295	46.295	84.899
k105_132 flag=1 multi=3.0000 len=4376	4376	12.5544	12.5544	12.8104
k105_135 flag=1 multi=2.9460 len=1845	1845	17.3575	17.3575	21.6537
k105_144 flag=0 multi=90.5177 len=3837	3837	291.632	291.632	1168.29
k105_156 flag=0 multi=4.8737 len=3176	3176	26.7743	26.7743	77.885
k105_158 flag=0 multi=8.8696 len=2497	2497	41.8014	41.8014	219.32
k105_87036 flag=0 multi=12.3308 len=3989	3989	73.5728	73.5728	413.818
k105_87044 flag=1 multi=3.0000 len=1694	1694	9.34132	9.34132	4.56458
k105_87047 flag=0 multi=4.9813 len=2248	2248	17.3627	17.3627	41.0963
k105_179 flag=0 multi=4.9892 len=3809	3809	24.0757	24.0757	114.574
k105_87069 flag=1 multi=4.0000 len=3445	3445	12.4079	12.4079	12.8895
k105_192 flag=0 multi=45.4380 len=2776	2776	163.388	163.388	459.499
k105_87073 flag=0 multi=11.1289 len=2176	2176	41.2769	41.2769	409.169
k105_200 flag=1 multi=4.0000 len=1934	1934	14.1676	14.1676	11.0023
k105_87077 flag=0 multi=5.5426 len=2252	2252	30.6461	30.6461	285.854
k105_201 flag=0 multi=89.5504 len=2407	2407	336.397	336.397	11895
k105_87080 flag=1 multi=5.0000 len=2010	2010	15.4075	15.4075	23.3722
k105_202 flag=1 multi=2.9381 len=2659	2659	11.1503	11.1503	19.5817
k105_208 flag=1 multi=3.5552 len=3419	3419	21.4555	21.4555	46.3076
k105_216 flag=1 multi=3.2584 len=1951	1951	11.6557	11.6557	28.3582
k105_224 flag=1 multi=4.8710 len=1810	1810	14.7217	14.7217	23.9878
k105_87091 flag=0 multi=9.0000 len=9991	9991	28.9457	28.9457	49.8215
k105_87095 flag=1 multi=3.9024 len=4377	4377	12.5571	12.5571	19.4591
k105_234 flag=0 multi=55.8465 len=3688	3688	165.294	165.294	19031.8
k105_87099 flag=1 multi=6.0000 len=2097	2097	23.5665	23.5665	36.8057
k105_240 flag=1 multi=1.9814 len=1986	1986	11.9668	11.9668	17.0601
k105_87104 flag=0 multi=5.0000 len=6918	6918	21.3989	21.3989	29.6494
k105_248 flag=0 multi=12.3957 len=1907	1907	82.3438	82.3438	767.054
k105_259 flag=0 multi=9.0859 len=1712	1712	45.8777	45.8777	191.549
k105_87119 flag=1 multi=2.0000 len=1625	1625	8.5539	8.55458	6.41402
k105_261 flag=0 multi=9.7347 len=3350	3350	34.7472	34.7472	196.694
k105_87122 flag=1 multi=3.0000 len=2736	2736	10.3619	10.3619	14.966
k105_265 flag=1 multi=5.0000 len=2887	2887	16.9364	16.9364	33.3614
k105_269 flag=0 multi=4.8048 len=2088	2088	25.0144	25.0144	69.7023
k105_277 flag=1 multi=3.7308 len=1665	1665	16.7637	16.7637	37.1933
k105_281 flag=0 multi=13.7407 len=3946	3946	58.7937	58.7937	151.956
k105_296 flag=1 multi=2.0000 len=2530	2530	17.6374	17.6374	24.9668
k105_297 flag=1 multi=6.0000 len=1917	1917	17.7719	17.7719	20.8013
k105_307 flag=0 multi=5.8025 len=2171	2171	21.7229	21.7229	306.362
k105_318 flag=0 multi=10.8963 len=2033	2033	39.5316	39.5316	134.848
k105_329 flag=1 multi=4.0000 len=3883	3883	24.3782	24.3782	34.7989
k105_349 flag=1 multi=2.9491 len=3957	3957	13.1114	13.1114	12.0203
k105_352 flag=0 multi=64.0942 len=3810	3810	193.765	193.765	443.553
k105_359 flag=1 multi=3.0000 len=1686	1686	10.099	10.099	8.31329
k105_372 flag=1 multi=3.9543 len=4568	4568	22.7347	22.7347	45.2023
k105_380 flag=1 multi=4.0000 len=3487	3487	14.9664	14.9664	21.0726
k105_401 flag=1 multi=3.0000 len=1671	1671	10	10	10.2105
k105_410 flag=0 multi=7.1992 len=1792	1792	62.4342	62.4342	1310.13
k105_419 flag=0 multi=13.8607 len=3221	3221	42.7838	42.7838	61.6379
k105_420 flag=0 multi=20.7611 len=1675	1675	83.143	83.143	1530.3
k105_433 flag=0 multi=7.0000 len=10809	10809	21.3239	21.3239	38.9378
k105_443 flag=0 multi=3.8173 len=2048	2048	17.2039	17.2039	50.6232
k105_446 flag=1 multi=3.0000 len=2263	2263	16.1978	16.1978	36.4873
k105_465 flag=0 multi=4.3363 len=3013	3013	19.6926	19.6926	44.3758
k105_471 flag=1 multi=3.9479 len=2641	2641	27.3842	27.3842	339.811
k105_481 flag=0 multi=12.9107 len=3241	3241	53.957	53.957	97.1875
k105_499 flag=1 multi=2.8612 len=2208	2208	17.4553	17.4553	34.8598
k105_502 flag=0 multi=6.0030 len=2468	2468	37.6126	37.6126	245.714
k105_87129 flag=0 multi=8.9991 len=184978	184978	26.9586	26.9586	42.818
k105_87130 flag=1 multi=6.0000 len=5722	5722	15.1543	15.1543	23.5822
k105_522 flag=0 multi=6.5213 len=1582	1582	40.8408	40.8408	239.028
k105_87135 flag=1 multi=2.9053 len=3884	3884	13.4162	13.4162	31.4808
k105_87141 flag=1 multi=3.0000 len=2200	2200	11.2415	11.2415	14.6967
k105_87159 flag=1 multi=6.5182 len=3092	3092	22.1876	22.1876	43.9763
k105_560 flag=1 multi=4.7712 len=1871	1871	15.0982	15.0982	16.8224
k105_563 flag=0 multi=32.8913 len=2496	2496	128.438	128.438	4185.85
k105_565 flag=1 multi=3.0000 len=1801	1801	12.3362	12.3362	8.54085
k105_87199 flag=0 multi=18.0000 len=1703	1703	73.3806	73.3812	128.539
k105_582 flag=0 multi=15.0011 len=8942	8942	52.6774	52.6774	119.478
k105_87205 flag=1 multi=3.0000 len=2354	2354	11.1792	11.1792	14.3186
k105_583 flag=0 multi=4.1227 len=2753	2753	20.6212	20.6212	32.463
k105_87211 flag=0 multi=6.4815 len=2026	2026	23.8161	23.8161	55.1112
k105_589 flag=1 multi=7.8453 len=1676	1676	35.1212	35.1212	728.779
k105_87212 flag=1 multi=2.4063 len=2155	2155	14.7102	14.7102	46.5161
k105_598 flag=0 multi=91.8893 len=2480	2480	339.8	339.8	3949.48
k105_87214 flag=1 multi=3.0000 len=4232	4232	11.3518	11.3518	15.6611
k105_87225 flag=0 multi=12.3473 len=2561	2561	59.6031	59.6031	487.384
k105_87233 flag=1 multi=3.0000 len=4636	4636	20.2715	20.2715	59.8622
k105_87234 flag=1 multi=3.0000 len=3200	3200	11.5111	11.5111	14.6317
k105_87247 flag=0 multi=16.2266 len=4007	4007	64.3119	64.3122	212.267
k105_651 flag=0 multi=7.6058 len=3228	3228	40.7544	40.7544	834.895
k105_87254 flag=1 multi=3.0000 len=1823	1823	9.45069	9.45069	13.3541
k105_659 flag=1 multi=5.0000 len=2659	2659	16.0793	16.0793	27.3522
k105_87258 flag=0 multi=26.1714 len=1616	1616	83.0941	83.0941	271.599
k105_661 flag=0 multi=16.5627 len=2586	2586	56.1203	56.1203	80.3301
k105_663 flag=0 multi=3.9789 len=1524	1524	10.9214	10.9214	3.79279
k105_87274 flag=0 multi=18.5010 len=2626	2626	71.8962	71.8962	111.344
k105_87286 flag=1 multi=2.9468 len=1871	1871	10.4858	10.4858	10.3755
k105_681 flag=1 multi=2.6496 len=2688	2688	13.7167	13.7167	32.3554
k105_694 flag=1 multi=4.0000 len=2469	2469	12.5067	12.5067	9.85489
k105_87290 flag=0 multi=30.8057 len=6548	6548	95.4175	95.4175	176.376
k105_703 flag=1 multi=3.9482 len=5958	5958	14.9463	14.9463	17.99
k105_715 flag=0 multi=1.9945 len=1919	1919	16.7456	16.7462	110.559
k105_718 flag=0 multi=39.1503 len=3452	3452	223.806	223.806	1637.74
k105_719 flag=0 multi=3.5970 len=2301	2301	14.4342	14.4342	66.2597
k105_726 flag=1 multi=2.8959 len=2545	2545	20.8856	20.8856	43.3379
k105_737 flag=0 multi=9.5209 len=2620	2620	55.9866	55.9866	179.202
k105_738 flag=1 multi=4.0000 len=2397	2397	18.6253	18.6253	30.8899
k105_87342 flag=1 multi=5.0000 len=10326	10326	13.5266	13.5266	14.3662
k105_739 flag=1 multi=2.0000 len=1658	1658	8.2752	8.27586	5.36252
k105_746 flag=1 multi=1.9097 len=1522	1522	12.3192	12.3192	23.6442
k105_87346 flag=0 multi=7.0000 len=5989	5989	19.6746	19.6748	46.2452
k105_87348 flag=1 multi=3.0000 len=2269	2269	10.7253	10.7253	9.98492
k105_769 flag=1 multi=3.8561 len=1502	1502	14.1908	14.1908	25.6764
k105_779 flag=0 multi=22.5621 len=1877	1877	88.7736	88.7736	15590.1
k105_87368 flag=0 multi=11.2421 len=4958	4958	42.3579	42.3579	108.24
k105_782 flag=0 multi=4.9771 len=1850	1850	15.3982	15.3982	45.1706
k105_806 flag=1 multi=4.0000 len=2221	2221	11.4104	11.4104	19.2316
k105_87385 flag=1 multi=5.0000 len=8300	8300	13.376	13.376	12.3957
k105_87389 flag=1 multi=4.0000 len=1929	1929	12.9815	12.9815	10.7774
k105_808 flag=0 multi=7.7771 len=6506	6506	37.0269	37.0269	81.7076
k105_816 flag=0 multi=5.4552 len=1755	1755	33.8274	33.8274	46.3038
k105_87408 flag=1 multi=4.0000 len=1914	1914	9.54195	9.54195	7.1378
k105_830 flag=0 multi=2.9930 len=2663	2663	19.3108	19.3108	84.4864
k105_87429 flag=1 multi=5.0000 len=1737	1737	17.4707	17.4713	49.6035
k105_842 flag=0 multi=9.9271 len=2573	2573	34.3145	34.3145	77.0452
k105_87430 flag=0 multi=7.2374 len=5298	5298	25.5544	25.5544	70.725
k105_845 flag=1 multi=2.7367 len=1723	1723	13.7966	13.7966	14.7499
k105_852 flag=0 multi=2.9372 len=2269	2269	20.3096	20.3101	32.9809
k105_87439 flag=1 multi=6.1991 len=1798	1798	25.1511	25.1511	59.2004
k105_855 flag=1 multi=3.0000 len=2517	2517	9.64428	9.64428	8.62912
k105_87450 flag=0 multi=19.3642 len=3386	3386	75.1276	75.1276	194.527
k105_871 flag=1 multi=4.0000 len=3482	3482	13.6924	13.6924	14.1919
k105_87455 flag=0 multi=9.0388 len=7113	7113	29.1126	29.1126	42.2581
k105_874 flag=1 multi=6.9317 len=4759	4759	29.0805	29.0805	54.2788
k105_883 flag=0 multi=4.0000 len=2607	2607	17.6732	17.6732	30.4163
k105_87468 flag=1 multi=2.0000 len=2524	2524	8.32772	8.32772	7.3464
k105_87492 flag=1 multi=5.0000 len=6098	6098	14.3697	14.3697	16.8285
k105_925 flag=1 multi=2.9038 len=1622	1622	15.0557	15.0557	44.0362
