locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBOOJHAG_00001	CDS	1842				hypothetical protein
MBOOJHAG_00002	CDS	1656	metG_1	6.1.1.10	COG0073	Methionine--tRNA ligase
MBOOJHAG_00003	CDS	1242		3.3.1.-	COG0499	S-inosyl-L-homocysteine hydrolase
MBOOJHAG_00004	CDS	303	hcaC			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
MBOOJHAG_00005	CDS	198				hypothetical protein
MBOOJHAG_00006	CDS	234	albA2		COG1581	DNA/RNA-binding protein Alba 2
MBOOJHAG_00007	CDS	273				hypothetical protein
MBOOJHAG_00008	CDS	621				hypothetical protein
MBOOJHAG_00009	CDS	714				hypothetical protein
MBOOJHAG_00010	CDS	942	dys	2.5.1.46	COG1899	putative deoxyhypusine synthase
MBOOJHAG_00011	CDS	342				hypothetical protein
MBOOJHAG_00012	CDS	462				hypothetical protein
MBOOJHAG_00013	CDS	1284				hypothetical protein
MBOOJHAG_00014	CDS	867				hypothetical protein
MBOOJHAG_00015	CDS	738				hypothetical protein
MBOOJHAG_00016	CDS	3525	smc		COG1196	Chromosome partition protein Smc
MBOOJHAG_00017	CDS	912	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MBOOJHAG_00018	CDS	1023	egtD	2.1.1.44		Histidine N-alpha-methyltransferase
MBOOJHAG_00019	CDS	1311	egtB	1.14.99.50		Hercynine oxygenase
MBOOJHAG_00020	CDS	363				hypothetical protein
MBOOJHAG_00021	CDS	1443	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MBOOJHAG_00022	CDS	204				hypothetical protein
MBOOJHAG_00023	CDS	537				hypothetical protein
MBOOJHAG_00024	CDS	267				hypothetical protein
MBOOJHAG_00025	CDS	297				hypothetical protein
MBOOJHAG_00026	CDS	510				hypothetical protein
MBOOJHAG_00027	CDS	1887	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MBOOJHAG_00028	CDS	696		3.1.3.18	COG0561	Phosphoglycolate phosphatase
MBOOJHAG_00029	CDS	228				hypothetical protein
MBOOJHAG_00030	CDS	699				hypothetical protein
MBOOJHAG_00031	CDS	399				hypothetical protein
MBOOJHAG_00032	CDS	840				hypothetical protein
MBOOJHAG_00033	CDS	306				hypothetical protein
MBOOJHAG_00034	CDS	549				hypothetical protein
MBOOJHAG_00035	CDS	312				hypothetical protein
MBOOJHAG_00036	CDS	1395	hmgB	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
MBOOJHAG_00037	CDS	711				hypothetical protein
MBOOJHAG_00038	CDS	714				hypothetical protein
MBOOJHAG_00039	CDS	1101				hypothetical protein
MBOOJHAG_00040	CDS	1053	gap	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
MBOOJHAG_00041	CDS	1254				hypothetical protein
MBOOJHAG_00042	CDS	1338	thrC_1	4.2.3.1	COG0498	Threonine synthase
MBOOJHAG_00043	CDS	375				hypothetical protein
MBOOJHAG_00044	CDS	318				hypothetical protein
MBOOJHAG_00045	CDS	594				hypothetical protein
MBOOJHAG_00046	CDS	549				hypothetical protein
MBOOJHAG_00047	CDS	201				hypothetical protein
MBOOJHAG_00048	CDS	828				hypothetical protein
MBOOJHAG_00049	CDS	309				hypothetical protein
MBOOJHAG_00050	CDS	1161	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
MBOOJHAG_00051	CDS	966	mer	1.5.98.2	COG2141	5,10-methylenetetrahydromethanopterin reductase
MBOOJHAG_00052	CDS	669	glmU		COG1208	Bifunctional protein GlmU
MBOOJHAG_00053	CDS	267				hypothetical protein
MBOOJHAG_00054	CDS	393				hypothetical protein
MBOOJHAG_00055	CDS	1143	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MBOOJHAG_00056	CDS	540	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
MBOOJHAG_00057	CDS	1209	thrC_2	4.2.3.1	COG0498	Threonine synthase
MBOOJHAG_00058	CDS	837				hypothetical protein
MBOOJHAG_00059	CDS	123				hypothetical protein
MBOOJHAG_00060	CDS	792				hypothetical protein
MBOOJHAG_00061	CDS	309				hypothetical protein
MBOOJHAG_00062	CDS	387				hypothetical protein
MBOOJHAG_00063	CDS	411				hypothetical protein
MBOOJHAG_00064	CDS	219				hypothetical protein
MBOOJHAG_00065	CDS	240				hypothetical protein
MBOOJHAG_00066	CDS	312				hypothetical protein
MBOOJHAG_00067	CDS	288				hypothetical protein
MBOOJHAG_00068	CDS	420				hypothetical protein
MBOOJHAG_00069	CDS	357	rssB_1			Regulator of RpoS
MBOOJHAG_00070	CDS	1797				hypothetical protein
MBOOJHAG_00071	CDS	1641	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MBOOJHAG_00072	CDS	1548	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MBOOJHAG_00073	CDS	1701	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
MBOOJHAG_00074	CDS	357	cheY			Chemotaxis protein CheY
MBOOJHAG_00075	tRNA	76				tRNA-Phe(gaa)
MBOOJHAG_00076	CDS	537				hypothetical protein
MBOOJHAG_00077	CDS	534				hypothetical protein
MBOOJHAG_00078	CDS	225				hypothetical protein
MBOOJHAG_00079	CDS	300				hypothetical protein
MBOOJHAG_00080	CDS	348				hypothetical protein
MBOOJHAG_00081	CDS	1224			COG1915	putative protein
MBOOJHAG_00082	CDS	567				hypothetical protein
MBOOJHAG_00083	CDS	1359	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
MBOOJHAG_00084	CDS	1863	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
MBOOJHAG_00085	CDS	264				hypothetical protein
MBOOJHAG_00086	CDS	1404	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MBOOJHAG_00087	CDS	1446		3.5.1.4	COG0154	Amidase
MBOOJHAG_00088	CDS	267				hypothetical protein
MBOOJHAG_00089	CDS	1311	aspS	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
MBOOJHAG_00090	CDS	174				hypothetical protein
MBOOJHAG_00091	CDS	210				hypothetical protein
MBOOJHAG_00092	CDS	1026	purP_1	6.3.4.23	COG1759	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase
MBOOJHAG_00093	CDS	792				hypothetical protein
MBOOJHAG_00094	CDS	831			COG1136	putative ABC transporter ATP-binding protein
MBOOJHAG_00095	CDS	1089				hypothetical protein
MBOOJHAG_00096	CDS	351				hypothetical protein
MBOOJHAG_00097	CDS	333				hypothetical protein
MBOOJHAG_00098	CDS	726				hypothetical protein
MBOOJHAG_00099	CDS	216				hypothetical protein
MBOOJHAG_00100	CDS	630				hypothetical protein
MBOOJHAG_00101	CDS	645				hypothetical protein
MBOOJHAG_00102	CDS	1281	prf1		COG1503	Peptide chain release factor subunit 1
MBOOJHAG_00103	CDS	405				hypothetical protein
MBOOJHAG_00104	CDS	600				hypothetical protein
MBOOJHAG_00105	CDS	195				hypothetical protein
MBOOJHAG_00106	CDS	1596				hypothetical protein
MBOOJHAG_00107	CDS	1677	ilvD	4.2.1.9		Dihydroxy-acid dehydratase
MBOOJHAG_00108	CDS	555				hypothetical protein
MBOOJHAG_00109	CDS	159				hypothetical protein
MBOOJHAG_00110	CDS	375				hypothetical protein
MBOOJHAG_00111	CDS	1923	dinG	3.1.-.-		3'-5' exonuclease DinG
MBOOJHAG_00112	CDS	354	rssB_2			Regulator of RpoS
MBOOJHAG_00113	CDS	912		2.7.1.169	COG1829	Pantoate kinase
MBOOJHAG_00114	CDS	765		6.3.2.36	COG1701	4-phosphopantoate--beta-alanine ligase
MBOOJHAG_00115	CDS	378				hypothetical protein
MBOOJHAG_00116	CDS	348				hypothetical protein
MBOOJHAG_00117	CDS	207				hypothetical protein
MBOOJHAG_00118	CDS	291				hypothetical protein
MBOOJHAG_00119	CDS	291				hypothetical protein
MBOOJHAG_00120	CDS	567				hypothetical protein
MBOOJHAG_00121	CDS	234				hypothetical protein
MBOOJHAG_00122	CDS	264				hypothetical protein
MBOOJHAG_00123	CDS	834				hypothetical protein
MBOOJHAG_00124	CDS	1818	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
MBOOJHAG_00125	CDS	444				hypothetical protein
MBOOJHAG_00126	CDS	393				hypothetical protein
MBOOJHAG_00127	CDS	384				hypothetical protein
MBOOJHAG_00128	CDS	528	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
MBOOJHAG_00129	CDS	426				hypothetical protein
MBOOJHAG_00130	CDS	717				hypothetical protein
MBOOJHAG_00131	CDS	381				hypothetical protein
MBOOJHAG_00132	CDS	423				hypothetical protein
MBOOJHAG_00133	CDS	660				hypothetical protein
MBOOJHAG_00134	CDS	681				hypothetical protein
MBOOJHAG_00135	CDS	1713				hypothetical protein
MBOOJHAG_00136	CDS	615				hypothetical protein
MBOOJHAG_00137	CDS	564				hypothetical protein
MBOOJHAG_00138	CDS	648	sod	1.15.1.1	COG0605	Superoxide dismutase [Fe]
MBOOJHAG_00139	CDS	1260				hypothetical protein
MBOOJHAG_00140	CDS	375				hypothetical protein
MBOOJHAG_00141	CDS	252				hypothetical protein
MBOOJHAG_00142	CDS	1449	dld	1.1.99.6	COG0277	D-lactate dehydrogenase (acceptor)
MBOOJHAG_00143	CDS	1314				hypothetical protein
MBOOJHAG_00144	CDS	405				hypothetical protein
