locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBPCIHCB_00001	CDS	303				hypothetical protein
IBPCIHCB_00002	CDS	1137	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
IBPCIHCB_00003	CDS	1290	pyrC	3.5.2.3	COG0044	Dihydroorotase
IBPCIHCB_00004	CDS	936	pyrB	2.1.3.2		Aspartate carbamoyltransferase
IBPCIHCB_00005	CDS	534	pyrR			Bifunctional protein pyrR
IBPCIHCB_00006	CDS	381	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
IBPCIHCB_00007	CDS	630				hypothetical protein
IBPCIHCB_00008	CDS	342				hypothetical protein
IBPCIHCB_00009	CDS	591				hypothetical protein
IBPCIHCB_00010	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
IBPCIHCB_00011	CDS	609				hypothetical protein
IBPCIHCB_00012	CDS	438				hypothetical protein
IBPCIHCB_00013	CDS	489	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
IBPCIHCB_00014	CDS	1428	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
IBPCIHCB_00015	CDS	684	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
IBPCIHCB_00016	CDS	615	tpm	2.1.1.67		Thiopurine S-methyltransferase
IBPCIHCB_00017	CDS	939		1.1.1.81	COG0111	Hydroxypyruvate reductase
IBPCIHCB_00018	CDS	1191				hypothetical protein
IBPCIHCB_00019	CDS	534				hypothetical protein
IBPCIHCB_00020	CDS	399				hypothetical protein
IBPCIHCB_00021	CDS	513	pipB2		COG1357	Secreted effector protein PipB2
IBPCIHCB_00022	CDS	2157				hypothetical protein
IBPCIHCB_00023	CDS	1035				hypothetical protein
IBPCIHCB_00024	CDS	681				hypothetical protein
IBPCIHCB_00025	CDS	2163	speE_1	2.5.1.16		Polyamine aminopropyltransferase
IBPCIHCB_00026	CDS	1317	gcvPA	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating) subunit 1
IBPCIHCB_00027	CDS	579				hypothetical protein
IBPCIHCB_00028	CDS	585				hypothetical protein
IBPCIHCB_00029	CDS	813				hypothetical protein
IBPCIHCB_00030	CDS	354				hypothetical protein
IBPCIHCB_00031	CDS	798		1.1.1.47	COG1028	Glucose 1-dehydrogenase
IBPCIHCB_00032	CDS	1260				hypothetical protein
IBPCIHCB_00033	CDS	1278	ampG		COG0477	Anhydromuropeptide permease
IBPCIHCB_00034	CDS	861	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
IBPCIHCB_00035	CDS	465	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
IBPCIHCB_00036	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
IBPCIHCB_00037	CDS	729				hypothetical protein
IBPCIHCB_00038	CDS	789				hypothetical protein
IBPCIHCB_00039	CDS	306	tatB			Sec-independent protein translocase protein TatB
IBPCIHCB_00040	CDS	393				hypothetical protein
IBPCIHCB_00041	CDS	1011				hypothetical protein
IBPCIHCB_00042	CDS	1467	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
IBPCIHCB_00043	CDS	459				hypothetical protein
IBPCIHCB_00044	CDS	1857				hypothetical protein
IBPCIHCB_00045	CDS	711				hypothetical protein
IBPCIHCB_00046	CDS	768				hypothetical protein
IBPCIHCB_00047	CDS	651	ycgM		COG0179	putative protein YcgM
IBPCIHCB_00048	CDS	984	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
IBPCIHCB_00049	CDS	276				hypothetical protein
IBPCIHCB_00050	CDS	975	rbn_1	3.1.26.11		Ribonuclease BN
IBPCIHCB_00051	CDS	3681				hypothetical protein
IBPCIHCB_00052	CDS	729				hypothetical protein
IBPCIHCB_00053	CDS	816				hypothetical protein
IBPCIHCB_00054	CDS	3420	aas	6.2.1.20		Bifunctional protein Aas
