locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKJGBAAD_00001	CDS	855				hypothetical protein
EKJGBAAD_00002	CDS	1008	hflK		COG0330	Modulator of FtsH protease HflK
EKJGBAAD_00003	CDS	507				hypothetical protein
EKJGBAAD_00004	CDS	1032				hypothetical protein
EKJGBAAD_00005	CDS	1245				hypothetical protein
EKJGBAAD_00006	CDS	771				hypothetical protein
EKJGBAAD_00007	CDS	348				hypothetical protein
EKJGBAAD_00008	CDS	1029				hypothetical protein
EKJGBAAD_00009	CDS	264				hypothetical protein
EKJGBAAD_00010	CDS	324	asrB		COG0543	Anaerobic sulfite reductase subunit B
EKJGBAAD_00011	CDS	780				hypothetical protein
EKJGBAAD_00012	CDS	1317	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
EKJGBAAD_00013	CDS	555				hypothetical protein
EKJGBAAD_00014	CDS	1053				hypothetical protein
EKJGBAAD_00015	CDS	1374				hypothetical protein
EKJGBAAD_00016	CDS	291	polA	2.7.7.7		DNA polymerase I
EKJGBAAD_00017	CDS	618	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
EKJGBAAD_00018	CDS	1158				hypothetical protein
EKJGBAAD_00019	CDS	432				hypothetical protein
EKJGBAAD_00020	CDS	489	appA			Oligopeptide-binding protein AppA
EKJGBAAD_00021	CDS	990	dppB		COG0601	Dipeptide transport system permease protein DppB
EKJGBAAD_00022	CDS	387				hypothetical protein
EKJGBAAD_00023	CDS	837				hypothetical protein
EKJGBAAD_00024	CDS	774	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
EKJGBAAD_00025	CDS	1146				hypothetical protein
EKJGBAAD_00026	CDS	816	kdc	4.1.1.-	COG3961	Alpha-keto-acid decarboxylase
EKJGBAAD_00027	CDS	1257				hypothetical protein
EKJGBAAD_00028	CDS	834				hypothetical protein
EKJGBAAD_00029	tRNA	83				tRNA-Leu(caa)
EKJGBAAD_00030	CDS	876	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
EKJGBAAD_00031	CDS	1944				hypothetical protein
EKJGBAAD_00032	CDS	1404		3.1.-.-	COG1236	Ribonuclease
EKJGBAAD_00033	CDS	342				hypothetical protein
EKJGBAAD_00034	CDS	645				hypothetical protein
EKJGBAAD_00035	CDS	759				hypothetical protein
EKJGBAAD_00036	CDS	1881				hypothetical protein
EKJGBAAD_00037	CDS	1611	ppx	3.6.1.11	COG0248	Exopolyphosphatase
EKJGBAAD_00038	CDS	969				hypothetical protein
EKJGBAAD_00039	CDS	1773	katG	1.11.1.21	COG0376	Catalase-peroxidase
EKJGBAAD_00040	CDS	636				hypothetical protein
EKJGBAAD_00041	CDS	441				hypothetical protein
EKJGBAAD_00042	CDS	357	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
EKJGBAAD_00043	CDS	888	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
EKJGBAAD_00044	CDS	1752				hypothetical protein
EKJGBAAD_00045	CDS	1206	dinG	3.1.-.-		3'-5' exonuclease DinG
EKJGBAAD_00046	CDS	924				hypothetical protein
EKJGBAAD_00047	CDS	1371				hypothetical protein
EKJGBAAD_00048	CDS	1059				hypothetical protein
EKJGBAAD_00049	CDS	954				hypothetical protein
EKJGBAAD_00050	CDS	417				hypothetical protein
EKJGBAAD_00051	CDS	1713				hypothetical protein
EKJGBAAD_00052	CDS	273				hypothetical protein
EKJGBAAD_00053	CDS	240				hypothetical protein
EKJGBAAD_00054	CDS	432		3.1.-.-		Ribonuclease VapC43
EKJGBAAD_00055	CDS	480				hypothetical protein
EKJGBAAD_00056	CDS	321				hypothetical protein
EKJGBAAD_00057	CDS	1038	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
EKJGBAAD_00058	CDS	237				hypothetical protein
EKJGBAAD_00059	CDS	1050	glcK	2.7.1.2	COG1940	Glucokinase
EKJGBAAD_00060	CDS	1293				hypothetical protein
EKJGBAAD_00061	CDS	1074	dnaN		COG0592	Beta sliding clamp
EKJGBAAD_00062	CDS	267				hypothetical protein
EKJGBAAD_00063	CDS	2046	secA			Protein translocase subunit SecA
EKJGBAAD_00064	CDS	546				hypothetical protein
EKJGBAAD_00065	CDS	495				hypothetical protein
EKJGBAAD_00066	CDS	528				hypothetical protein
EKJGBAAD_00067	CDS	762	glnQ		COG1126	Glutamine transport ATP-binding protein GlnQ
EKJGBAAD_00068	CDS	738	glnP		COG0765	Glutamine transport system permease protein GlnP
EKJGBAAD_00069	CDS	381				hypothetical protein
EKJGBAAD_00070	CDS	333		2.8.1.-	COG0607	Sulfurtransferase
EKJGBAAD_00071	CDS	444				hypothetical protein
EKJGBAAD_00072	CDS	927				hypothetical protein
EKJGBAAD_00073	CDS	903	folP	2.5.1.15	COG0294	Dihydropteroate synthase
EKJGBAAD_00074	CDS	867				hypothetical protein
EKJGBAAD_00075	CDS	195				hypothetical protein
EKJGBAAD_00076	CDS	492	panC	6.3.2.1	COG0414	Pantothenate synthetase
EKJGBAAD_00077	CDS	1050	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EKJGBAAD_00078	CDS	294				hypothetical protein
EKJGBAAD_00079	CDS	1713	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
EKJGBAAD_00080	CDS	402				hypothetical protein
EKJGBAAD_00081	CDS	1065	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
EKJGBAAD_00082	CDS	954				hypothetical protein
EKJGBAAD_00083	CDS	846	ybfF	3.1.-.-	COG0596	Esterase YbfF
EKJGBAAD_00084	CDS	285				hypothetical protein
EKJGBAAD_00085	CDS	921				hypothetical protein
EKJGBAAD_00086	CDS	219				hypothetical protein
EKJGBAAD_00087	CDS	987				hypothetical protein
EKJGBAAD_00088	CDS	801				hypothetical protein
EKJGBAAD_00089	CDS	1020	rqkA	2.7.11.1	COG0515	DNA damage-responsive serine/threonine-protein kinase RqkA
EKJGBAAD_00090	CDS	405	dksA			RNA polymerase-binding transcription factor DksA
EKJGBAAD_00091	CDS	969				hypothetical protein
EKJGBAAD_00092	CDS	588				hypothetical protein
EKJGBAAD_00093	CDS	336				hypothetical protein
EKJGBAAD_00094	CDS	414				hypothetical protein
EKJGBAAD_00095	CDS	1212				hypothetical protein
EKJGBAAD_00096	CDS	1179	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
EKJGBAAD_00097	CDS	288				hypothetical protein
EKJGBAAD_00098	CDS	534				hypothetical protein
EKJGBAAD_00099	CDS	714				hypothetical protein
EKJGBAAD_00100	CDS	915				hypothetical protein
EKJGBAAD_00101	CDS	216				hypothetical protein
EKJGBAAD_00102	CDS	1854	leuS	6.1.1.4		Leucine--tRNA ligase
EKJGBAAD_00103	CDS	1269	bamB_1			Outer membrane protein assembly factor BamB
EKJGBAAD_00104	CDS	702				hypothetical protein
EKJGBAAD_00105	CDS	687			COG1136	putative ABC transporter ATP-binding protein
EKJGBAAD_00106	CDS	411				hypothetical protein
EKJGBAAD_00107	CDS	396				hypothetical protein
EKJGBAAD_00108	CDS	504				hypothetical protein
EKJGBAAD_00109	CDS	486	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
EKJGBAAD_00110	CDS	669				hypothetical protein
EKJGBAAD_00111	CDS	930				hypothetical protein
EKJGBAAD_00112	CDS	561				hypothetical protein
EKJGBAAD_00113	CDS	1218		2.6.1.1		Aspartate aminotransferase
EKJGBAAD_00114	CDS	873				hypothetical protein
EKJGBAAD_00115	CDS	972	ndhH	7.1.1.-	COG0649	NAD(P)H-quinone oxidoreductase subunit H
EKJGBAAD_00116	CDS	780				hypothetical protein
EKJGBAAD_00117	CDS	642				hypothetical protein
EKJGBAAD_00118	CDS	771				hypothetical protein
EKJGBAAD_00119	CDS	1020				hypothetical protein
EKJGBAAD_00120	CDS	600				hypothetical protein
EKJGBAAD_00121	CDS	975				hypothetical protein
EKJGBAAD_00122	CDS	717				hypothetical protein
EKJGBAAD_00123	CDS	519				hypothetical protein
EKJGBAAD_00124	CDS	723				hypothetical protein
EKJGBAAD_00125	CDS	387				hypothetical protein
EKJGBAAD_00126	CDS	1743				hypothetical protein
EKJGBAAD_00127	CDS	99				hypothetical protein
EKJGBAAD_00128	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
EKJGBAAD_00129	CDS	891	rpoS		COG0568	RNA polymerase sigma factor RpoS
EKJGBAAD_00130	CDS	1056				hypothetical protein
EKJGBAAD_00131	CDS	654				hypothetical protein
EKJGBAAD_00132	CDS	900	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
EKJGBAAD_00133	CDS	1020				hypothetical protein
EKJGBAAD_00134	CDS	345				hypothetical protein
EKJGBAAD_00135	CDS	657				hypothetical protein
EKJGBAAD_00136	CDS	696	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
EKJGBAAD_00137	CDS	534	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
EKJGBAAD_00138	CDS	456	ndhA	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
EKJGBAAD_00139	CDS	1350				hypothetical protein
EKJGBAAD_00140	CDS	483				hypothetical protein
EKJGBAAD_00141	CDS	426				hypothetical protein
EKJGBAAD_00142	CDS	495				hypothetical protein
EKJGBAAD_00143	CDS	594				hypothetical protein
EKJGBAAD_00144	CDS	504				hypothetical protein
EKJGBAAD_00145	CDS	1356	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
EKJGBAAD_00146	CDS	384	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
EKJGBAAD_00147	CDS	393				hypothetical protein
