locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLNBNFLB_00001	CDS	1413	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PLNBNFLB_00002	CDS	201				hypothetical protein
PLNBNFLB_00003	CDS	1470	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
PLNBNFLB_00004	CDS	885				hypothetical protein
PLNBNFLB_00005	CDS	135	eno_1	4.2.1.11	COG0148	Enolase
PLNBNFLB_00006	CDS	639				hypothetical protein
PLNBNFLB_00007	CDS	279				hypothetical protein
PLNBNFLB_00008	CDS	1548	fusA_1			Elongation factor G
PLNBNFLB_00009	CDS	891	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
PLNBNFLB_00010	CDS	1350	purF	2.4.2.14		Amidophosphoribosyltransferase
PLNBNFLB_00011	CDS	1041	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
PLNBNFLB_00012	CDS	609	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
PLNBNFLB_00013	CDS	1812	secA			Protein translocase subunit SecA
PLNBNFLB_00014	CDS	405				hypothetical protein
PLNBNFLB_00015	CDS	690				hypothetical protein
PLNBNFLB_00016	CDS	219				hypothetical protein
PLNBNFLB_00017	CDS	231				hypothetical protein
PLNBNFLB_00018	CDS	489	rimP			Ribosome maturation factor RimP
PLNBNFLB_00019	CDS	1851	lutA_1			Lactate utilization protein A
PLNBNFLB_00020	CDS	570	yciB			intracellular septation protein A
PLNBNFLB_00021	CDS	879				hypothetical protein
PLNBNFLB_00022	CDS	228				hypothetical protein
PLNBNFLB_00023	CDS	195				hypothetical protein
PLNBNFLB_00024	CDS	294				hypothetical protein
PLNBNFLB_00025	CDS	399	prfB_1			Peptide chain release factor 2
PLNBNFLB_00026	CDS	189				hypothetical protein
PLNBNFLB_00027	CDS	468	rnhA	3.1.26.4		Ribonuclease H
PLNBNFLB_00028	CDS	384				hypothetical protein
PLNBNFLB_00029	CDS	996				hypothetical protein
PLNBNFLB_00030	CDS	981		1.2.7.11	COG0674	2-oxoacid:ferredoxin oxidoreductase 1, subunit alpha
PLNBNFLB_00031	CDS	666				hypothetical protein
PLNBNFLB_00032	CDS	1278	ilvD_1	4.2.1.9		Dihydroxy-acid dehydratase
PLNBNFLB_00033	CDS	606	ppaX	3.6.1.1		Pyrophosphatase PpaX
PLNBNFLB_00034	CDS	609				hypothetical protein
PLNBNFLB_00035	CDS	984				hypothetical protein
PLNBNFLB_00036	CDS	1122				hypothetical protein
PLNBNFLB_00037	CDS	309				hypothetical protein
PLNBNFLB_00038	CDS	450				hypothetical protein
PLNBNFLB_00039	CDS	687				hypothetical protein
PLNBNFLB_00040	CDS	1992	namA_1	1.6.99.1		NADPH dehydrogenase
PLNBNFLB_00041	CDS	804				hypothetical protein
PLNBNFLB_00042	CDS	438				hypothetical protein
PLNBNFLB_00043	CDS	291				hypothetical protein
PLNBNFLB_00044	CDS	183				hypothetical protein
PLNBNFLB_00045	CDS	327				hypothetical protein
PLNBNFLB_00046	CDS	120				hypothetical protein
PLNBNFLB_00047	CDS	1869	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PLNBNFLB_00048	CDS	381	crcB			Putative fluoride ion transporter CrcB
PLNBNFLB_00049	CDS	288				hypothetical protein
PLNBNFLB_00050	CDS	351				hypothetical protein
PLNBNFLB_00051	CDS	432				hypothetical protein
PLNBNFLB_00052	CDS	468				hypothetical protein
PLNBNFLB_00053	CDS	648	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
PLNBNFLB_00054	CDS	1299	gltA	2.3.3.16	COG0372	Citrate synthase
PLNBNFLB_00055	CDS	1008				hypothetical protein
PLNBNFLB_00056	CDS	789				hypothetical protein
PLNBNFLB_00057	CDS	486				hypothetical protein
PLNBNFLB_00058	CDS	768	prfB_2			Peptide chain release factor 2
PLNBNFLB_00059	CDS	972				hypothetical protein
PLNBNFLB_00060	CDS	291				hypothetical protein
PLNBNFLB_00061	CDS	312				hypothetical protein
PLNBNFLB_00062	CDS	798	hppA1	7.2.3.-	COG3808	K(+)-stimulated pyrophosphate-energized sodium pump
PLNBNFLB_00063	CDS	507				hypothetical protein
PLNBNFLB_00064	CDS	270				hypothetical protein
PLNBNFLB_00065	CDS	168				hypothetical protein
PLNBNFLB_00066	CDS	330				hypothetical protein
PLNBNFLB_00067	CDS	855				hypothetical protein
PLNBNFLB_00068	CDS	216				hypothetical protein
PLNBNFLB_00069	CDS	813				hypothetical protein
PLNBNFLB_00070	CDS	276				hypothetical protein
PLNBNFLB_00071	CDS	369				hypothetical protein
PLNBNFLB_00072	CDS	297	ymdB	3.1.1.106		O-acetyl-ADP-ribose deacetylase
PLNBNFLB_00073	CDS	573	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
PLNBNFLB_00074	CDS	813				hypothetical protein
PLNBNFLB_00075	CDS	447				hypothetical protein
PLNBNFLB_00076	CDS	486				hypothetical protein
PLNBNFLB_00077	CDS	414	ribL	2.7.7.2	COG0615	FAD synthase
PLNBNFLB_00078	CDS	936	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
PLNBNFLB_00079	CDS	513		5.1.99.1	COG0346	Methylmalonyl-CoA epimerase
PLNBNFLB_00080	CDS	987	hldD_2	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
PLNBNFLB_00081	CDS	297				hypothetical protein
PLNBNFLB_00082	CDS	531	tssA_1	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase
PLNBNFLB_00083	CDS	660				hypothetical protein
PLNBNFLB_00084	CDS	2004	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
PLNBNFLB_00085	CDS	786				hypothetical protein
PLNBNFLB_00086	CDS	951	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PLNBNFLB_00087	CDS	405				hypothetical protein
PLNBNFLB_00088	CDS	1338				hypothetical protein
PLNBNFLB_00089	CDS	1062				hypothetical protein
PLNBNFLB_00090	CDS	1083				hypothetical protein
PLNBNFLB_00091	CDS	840	bioA_1	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
PLNBNFLB_00092	CDS	1581		6.2.1.40	COG0365	4-hydroxybutyrate--CoA ligase 1
PLNBNFLB_00093	CDS	525	eno_2	4.2.1.11	COG0148	Enolase
PLNBNFLB_00094	CDS	456	mutS2	3.1.-.-		Endonuclease MutS2
PLNBNFLB_00095	CDS	639				hypothetical protein
PLNBNFLB_00096	CDS	783				hypothetical protein
PLNBNFLB_00097	CDS	879	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
PLNBNFLB_00098	CDS	294	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PLNBNFLB_00099	CDS	1107	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
PLNBNFLB_00100	CDS	369			COG0099	30S ribosomal protein S13
PLNBNFLB_00101	CDS	1335	secY			Protein translocase subunit SecY
PLNBNFLB_00102	CDS	447				hypothetical protein
PLNBNFLB_00103	CDS	189				hypothetical protein
PLNBNFLB_00104	CDS	501	rps5		COG0098	30S ribosomal protein S5
PLNBNFLB_00105	CDS	366				hypothetical protein
PLNBNFLB_00106	CDS	237				hypothetical protein
PLNBNFLB_00107	CDS	573				hypothetical protein
PLNBNFLB_00108	CDS	486				hypothetical protein
PLNBNFLB_00109	CDS	480				hypothetical protein
PLNBNFLB_00110	CDS	1272	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
PLNBNFLB_00111	CDS	270				hypothetical protein
PLNBNFLB_00112	CDS	414	cheY			Chemotaxis protein CheY
PLNBNFLB_00113	CDS	420				hypothetical protein
PLNBNFLB_00114	CDS	441				hypothetical protein
PLNBNFLB_00115	CDS	273				hypothetical protein
PLNBNFLB_00116	CDS	678				hypothetical protein
PLNBNFLB_00117	CDS	345				hypothetical protein
PLNBNFLB_00118	CDS	729	livG_1		COG0411	putative branched-chain amino acid transport ATP-binding protein LivG
PLNBNFLB_00119	CDS	174				hypothetical protein
PLNBNFLB_00120	CDS	1317				hypothetical protein
PLNBNFLB_00121	CDS	192				hypothetical protein
PLNBNFLB_00122	CDS	387				hypothetical protein
PLNBNFLB_00123	CDS	213				hypothetical protein
PLNBNFLB_00124	CDS	168				hypothetical protein
PLNBNFLB_00125	CDS	582	def	3.5.1.88		Peptide deformylase
PLNBNFLB_00126	CDS	687	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
