locus_tag	ftype	length_bp	gene	EC_number	COG	product
INFKIJFK_00001	CDS	312				hypothetical protein
INFKIJFK_00002	CDS	1377				hypothetical protein
INFKIJFK_00003	CDS	843				hypothetical protein
INFKIJFK_00004	CDS	612	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
INFKIJFK_00005	CDS	1404				hypothetical protein
INFKIJFK_00006	CDS	195				hypothetical protein
INFKIJFK_00007	CDS	666				hypothetical protein
INFKIJFK_00008	CDS	1548				hypothetical protein
INFKIJFK_00009	CDS	237				hypothetical protein
INFKIJFK_00010	CDS	180				hypothetical protein
INFKIJFK_00011	CDS	528				hypothetical protein
INFKIJFK_00012	CDS	441				hypothetical protein
INFKIJFK_00013	CDS	1185				hypothetical protein
INFKIJFK_00014	CDS	981				hypothetical protein
INFKIJFK_00015	CDS	222				hypothetical protein
INFKIJFK_00016	CDS	702	gph	3.1.3.18		Phosphoglycolate phosphatase
INFKIJFK_00017	CDS	300				hypothetical protein
INFKIJFK_00018	CDS	507				hypothetical protein
INFKIJFK_00019	CDS	984				hypothetical protein
INFKIJFK_00020	CDS	1278	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
INFKIJFK_00021	CDS	912				hypothetical protein
INFKIJFK_00022	CDS	567				hypothetical protein
INFKIJFK_00023	CDS	540	QTRT1	2.4.2.29		Queuine tRNA-ribosyltransferase catalytic subunit 1
INFKIJFK_00024	CDS	510				hypothetical protein
INFKIJFK_00025	CDS	648				hypothetical protein
INFKIJFK_00026	CDS	1485	thi4	2.4.2.59		Thiamine thiazole synthase
INFKIJFK_00027	CDS	225				hypothetical protein
INFKIJFK_00028	CDS	753				hypothetical protein
INFKIJFK_00029	CDS	276				hypothetical protein
INFKIJFK_00030	CDS	288				hypothetical protein
INFKIJFK_00031	CDS	867				hypothetical protein
INFKIJFK_00032	CDS	408				hypothetical protein
INFKIJFK_00033	CDS	336				hypothetical protein
INFKIJFK_00034	CDS	582				hypothetical protein
INFKIJFK_00035	CDS	387				hypothetical protein
INFKIJFK_00036	CDS	243				hypothetical protein
INFKIJFK_00037	CDS	717				hypothetical protein
INFKIJFK_00038	CDS	180				hypothetical protein
