locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDLKJEA_00001	CDS	372				hypothetical protein
FCDLKJEA_00002	CDS	783	griI_1	4.1.2.56	COG1830	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
FCDLKJEA_00003	CDS	456				hypothetical protein
FCDLKJEA_00004	CDS	2094				hypothetical protein
FCDLKJEA_00005	CDS	219				hypothetical protein
FCDLKJEA_00006	CDS	522				hypothetical protein
FCDLKJEA_00007	CDS	216				hypothetical protein
FCDLKJEA_00008	CDS	393	rpsH_1			30S ribosomal protein S8
FCDLKJEA_00009	CDS	558				hypothetical protein
FCDLKJEA_00010	CDS	294				hypothetical protein
FCDLKJEA_00011	tRNA	75				tRNA-Asn(gtt)
FCDLKJEA_00012	CDS	249				hypothetical protein
FCDLKJEA_00013	CDS	222				hypothetical protein
FCDLKJEA_00014	CDS	444				hypothetical protein
FCDLKJEA_00015	CDS	1350	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
FCDLKJEA_00016	CDS	747				hypothetical protein
FCDLKJEA_00017	CDS	816				hypothetical protein
FCDLKJEA_00018	CDS	324				hypothetical protein
FCDLKJEA_00019	CDS	279				hypothetical protein
FCDLKJEA_00020	CDS	1941	rnj	3.1.-.-		Ribonuclease J
FCDLKJEA_00021	CDS	2025				hypothetical protein
FCDLKJEA_00022	CDS	1503	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
FCDLKJEA_00023	CDS	579				hypothetical protein
FCDLKJEA_00024	CDS	288				hypothetical protein
FCDLKJEA_00025	CDS	774				hypothetical protein
FCDLKJEA_00026	CDS	546				hypothetical protein
FCDLKJEA_00027	CDS	783	pabB_1	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
FCDLKJEA_00028	CDS	600	trpG_1	4.1.3.27	COG0512	Anthranilate synthase component 2
FCDLKJEA_00029	CDS	1020	trpD_1	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
FCDLKJEA_00030	CDS	207				hypothetical protein
FCDLKJEA_00031	CDS	357				hypothetical protein
FCDLKJEA_00032	CDS	1911				hypothetical protein
FCDLKJEA_00033	CDS	147				hypothetical protein
FCDLKJEA_00034	CDS	969	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
FCDLKJEA_00035	CDS	1401				hypothetical protein
FCDLKJEA_00036	CDS	255	yqgN		COG0212	putative protein YqgN
FCDLKJEA_00037	CDS	1248	purD_1	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
FCDLKJEA_00038	CDS	3198	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FCDLKJEA_00039	CDS	492				hypothetical protein
FCDLKJEA_00040	CDS	744				hypothetical protein
FCDLKJEA_00041	CDS	357				hypothetical protein
FCDLKJEA_00042	CDS	465	mntR_1			HTH-type transcriptional regulator MntR
FCDLKJEA_00043	CDS	288				hypothetical protein
FCDLKJEA_00044	CDS	192				hypothetical protein
FCDLKJEA_00045	CDS	315				hypothetical protein
FCDLKJEA_00046	CDS	444				hypothetical protein
FCDLKJEA_00047	CDS	126				hypothetical protein
FCDLKJEA_00048	CDS	288				hypothetical protein
FCDLKJEA_00049	CDS	519				hypothetical protein
FCDLKJEA_00050	CDS	234				hypothetical protein
FCDLKJEA_00051	CDS	264				hypothetical protein
FCDLKJEA_00052	CDS	525				hypothetical protein
FCDLKJEA_00053	CDS	231				hypothetical protein
FCDLKJEA_00054	CDS	552				hypothetical protein
FCDLKJEA_00055	CDS	225				hypothetical protein
FCDLKJEA_00056	CDS	261				hypothetical protein
FCDLKJEA_00057	CDS	447				hypothetical protein
FCDLKJEA_00058	CDS	1071				hypothetical protein
FCDLKJEA_00059	CDS	375				hypothetical protein
FCDLKJEA_00060	CDS	1443	ubiD_1	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
FCDLKJEA_00061	CDS	450	mqnE_1	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
FCDLKJEA_00062	CDS	1149		1.8.5.4	COG0446	Sulfide-quinone reductase
FCDLKJEA_00063	CDS	741		1.-.-.-		putative oxidoreductase
FCDLKJEA_00064	CDS	285				hypothetical protein
