locus_tag	ftype	length_bp	gene	EC_number	COG	product
OMAHEEIC_00001	CDS	264				hypothetical protein
OMAHEEIC_00002	CDS	735	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
OMAHEEIC_00003	CDS	423				hypothetical protein
OMAHEEIC_00004	CDS	384				hypothetical protein
OMAHEEIC_00005	CDS	429	aroQ1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
OMAHEEIC_00006	CDS	144				hypothetical protein
OMAHEEIC_00007	CDS	1053	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
OMAHEEIC_00008	tRNA	76				tRNA-Asn(gtt)
OMAHEEIC_00009	CDS	525				hypothetical protein
OMAHEEIC_00010	CDS	297	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
OMAHEEIC_00011	CDS	756	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
OMAHEEIC_00012	CDS	225				hypothetical protein
OMAHEEIC_00013	CDS	552				hypothetical protein
OMAHEEIC_00014	CDS	849	rdpA	1.14.11.44		(R)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
OMAHEEIC_00015	CDS	780				hypothetical protein
OMAHEEIC_00016	CDS	855				hypothetical protein
OMAHEEIC_00017	CDS	813				hypothetical protein
OMAHEEIC_00018	CDS	1302	oprM		COG1538	Outer membrane protein OprM
OMAHEEIC_00019	CDS	426	cc4_1		COG2863	Cytochrome c4
OMAHEEIC_00020	CDS	621	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
OMAHEEIC_00021	CDS	417				hypothetical protein
OMAHEEIC_00022	CDS	231				hypothetical protein
OMAHEEIC_00023	CDS	624				hypothetical protein
OMAHEEIC_00024	CDS	1428	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
OMAHEEIC_00025	CDS	1443	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
OMAHEEIC_00026	CDS	288	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
OMAHEEIC_00027	CDS	630	aroB_1	4.2.3.4	COG0337	3-dehydroquinate synthase
OMAHEEIC_00028	CDS	1359			COG2239	Magnesium transporter MgtE
