locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFJKNCDP_00001	CDS	666				hypothetical protein
LFJKNCDP_00002	CDS	933				hypothetical protein
LFJKNCDP_00003	CDS	741				hypothetical protein
LFJKNCDP_00004	CDS	627				hypothetical protein
LFJKNCDP_00005	CDS	1254				hypothetical protein
LFJKNCDP_00006	CDS	720				hypothetical protein
LFJKNCDP_00007	CDS	405				hypothetical protein
LFJKNCDP_00008	CDS	543				hypothetical protein
LFJKNCDP_00009	CDS	339				hypothetical protein
LFJKNCDP_00010	CDS	402				hypothetical protein
LFJKNCDP_00011	CDS	1170	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
LFJKNCDP_00012	CDS	852				hypothetical protein
LFJKNCDP_00013	CDS	966				hypothetical protein
LFJKNCDP_00014	CDS	345				hypothetical protein
LFJKNCDP_00015	CDS	756				hypothetical protein
LFJKNCDP_00016	CDS	177				hypothetical protein
LFJKNCDP_00017	CDS	1260				hypothetical protein
LFJKNCDP_00018	CDS	894	egtB_1	1.14.99.50		Hercynine oxygenase
LFJKNCDP_00019	CDS	1263				hypothetical protein
LFJKNCDP_00020	CDS	900				hypothetical protein
LFJKNCDP_00021	CDS	714			COG1136	putative ABC transporter ATP-binding protein
LFJKNCDP_00022	CDS	741			COG0489	Iron-sulfur cluster carrier protein
LFJKNCDP_00023	CDS	312	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
LFJKNCDP_00024	CDS	780				hypothetical protein
LFJKNCDP_00025	CDS	264				hypothetical protein
LFJKNCDP_00026	CDS	651				hypothetical protein
LFJKNCDP_00027	CDS	843				hypothetical protein
LFJKNCDP_00028	CDS	213				hypothetical protein
LFJKNCDP_00029	CDS	609				hypothetical protein
LFJKNCDP_00030	CDS	219				hypothetical protein
LFJKNCDP_00031	CDS	345				hypothetical protein
LFJKNCDP_00032	tRNA	90				tRNA-Ser(cga)
LFJKNCDP_00033	tRNA	91				tRNA-Ser(gga)
LFJKNCDP_00034	tRNA	73				tRNA-Val(cac)
LFJKNCDP_00035	CDS	573				hypothetical protein
LFJKNCDP_00036	CDS	600	recR			Recombination protein RecR
LFJKNCDP_00037	CDS	156				hypothetical protein
LFJKNCDP_00038	CDS	711				hypothetical protein
LFJKNCDP_00039	CDS	1029				hypothetical protein
LFJKNCDP_00040	CDS	792				hypothetical protein
LFJKNCDP_00041	CDS	987		1.3.1.84	COG1064	Acryloyl-coenzyme A reductase
LFJKNCDP_00042	CDS	261				hypothetical protein
LFJKNCDP_00043	CDS	603				hypothetical protein
LFJKNCDP_00044	CDS	252				hypothetical protein
LFJKNCDP_00045	CDS	480				hypothetical protein
LFJKNCDP_00046	CDS	792				hypothetical protein
LFJKNCDP_00047	CDS	300				hypothetical protein
LFJKNCDP_00048	CDS	1617				hypothetical protein
LFJKNCDP_00049	CDS	999	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LFJKNCDP_00050	CDS	768	glmU	2.7.7.23		Bifunctional protein GlmU
LFJKNCDP_00051	CDS	957	pgi	5.3.1.9		Glucose-6-phosphate isomerase
LFJKNCDP_00052	CDS	537				hypothetical protein
LFJKNCDP_00053	CDS	582				hypothetical protein
LFJKNCDP_00054	CDS	852				hypothetical protein
LFJKNCDP_00055	CDS	642				hypothetical protein
LFJKNCDP_00056	CDS	318				hypothetical protein
LFJKNCDP_00057	CDS	1542	tig	5.2.1.8		Trigger factor
LFJKNCDP_00058	CDS	1296	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
LFJKNCDP_00059	CDS	1080				hypothetical protein
LFJKNCDP_00060	CDS	471	rps7		COG0049	30S ribosomal protein S7
LFJKNCDP_00061	CDS	465				hypothetical protein
LFJKNCDP_00062	CDS	615				hypothetical protein
LFJKNCDP_00063	CDS	498				hypothetical protein
LFJKNCDP_00064	CDS	1260	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
LFJKNCDP_00065	CDS	279				hypothetical protein
LFJKNCDP_00066	CDS	873		2.1.2.5	COG3643	Glutamate formimidoyltransferase
LFJKNCDP_00067	CDS	1236	entS_1			Enterobactin exporter EntS
LFJKNCDP_00068	CDS	714	bop1		COG5524	Bacteriorhodopsin-I
LFJKNCDP_00069	CDS	204				hypothetical protein
LFJKNCDP_00070	CDS	543	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
LFJKNCDP_00071	CDS	675				hypothetical protein
LFJKNCDP_00072	CDS	948	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
LFJKNCDP_00073	CDS	1179				hypothetical protein
LFJKNCDP_00074	CDS	171	purQ	3.5.1.2		Phosphoribosylformylglycinamidine synthase subunit PurQ
LFJKNCDP_00075	CDS	669				hypothetical protein
LFJKNCDP_00076	tRNA	74				tRNA-Pro(tgg)
LFJKNCDP_00077	CDS	705				hypothetical protein
LFJKNCDP_00078	CDS	999	corA		COG0598	Cobalt/magnesium transport protein CorA
LFJKNCDP_00079	CDS	441				hypothetical protein
LFJKNCDP_00080	CDS	1200	mdtL			Multidrug resistance protein MdtL
LFJKNCDP_00081	CDS	699				hypothetical protein
LFJKNCDP_00082	CDS	1560	clpX_2			ATP-dependent Clp protease ATP-binding subunit ClpX
LFJKNCDP_00083	CDS	300				hypothetical protein
LFJKNCDP_00084	CDS	267				hypothetical protein
LFJKNCDP_00085	CDS	297				hypothetical protein
LFJKNCDP_00086	CDS	1410	rne	3.1.26.12		Ribonuclease E
LFJKNCDP_00087	CDS	498				hypothetical protein
LFJKNCDP_00088	CDS	270				hypothetical protein
LFJKNCDP_00089	CDS	1695				hypothetical protein
LFJKNCDP_00090	CDS	204				hypothetical protein
LFJKNCDP_00091	CDS	360				hypothetical protein
LFJKNCDP_00092	CDS	990				hypothetical protein
LFJKNCDP_00093	CDS	1131	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
LFJKNCDP_00094	CDS	1032	entS_2			Enterobactin exporter EntS
LFJKNCDP_00095	rRNA	1121				16S ribosomal RNA (partial)
LFJKNCDP_00096	CDS	1122				hypothetical protein
LFJKNCDP_00097	CDS	201				hypothetical protein
LFJKNCDP_00098	CDS	1515				hypothetical protein
LFJKNCDP_00099	CDS	1422	groL			60 kDa chaperonin
LFJKNCDP_00100	CDS	726	aqpM		COG0580	Aquaporin AqpM
LFJKNCDP_00101	CDS	432				hypothetical protein
LFJKNCDP_00102	CDS	246				hypothetical protein
LFJKNCDP_00103	CDS	321	erpA			Iron-sulfur cluster insertion protein ErpA
LFJKNCDP_00104	CDS	1134				hypothetical protein
LFJKNCDP_00105	CDS	177				hypothetical protein
LFJKNCDP_00106	CDS	1188	tuf		COG5256	Elongation factor 1-alpha
LFJKNCDP_00107	CDS	312			COG0051	30S ribosomal protein S10
LFJKNCDP_00108	CDS	1227				hypothetical protein
LFJKNCDP_00109	CDS	309				hypothetical protein
LFJKNCDP_00110	CDS	477				hypothetical protein
LFJKNCDP_00111	CDS	720				hypothetical protein
LFJKNCDP_00112	CDS	624	nrdR			Transcriptional repressor NrdR
LFJKNCDP_00113	CDS	189				hypothetical protein
LFJKNCDP_00114	CDS	333				hypothetical protein
LFJKNCDP_00115	CDS	432				hypothetical protein
LFJKNCDP_00116	CDS	195				hypothetical protein
LFJKNCDP_00117	CDS	105				hypothetical protein
LFJKNCDP_00118	CDS	1080				hypothetical protein
LFJKNCDP_00119	CDS	429	serC	2.6.1.52		Phosphoserine aminotransferase
LFJKNCDP_00120	CDS	972				hypothetical protein
LFJKNCDP_00121	CDS	123				hypothetical protein
LFJKNCDP_00122	CDS	837	fcl_1	1.1.1.271		GDP-L-fucose synthase
LFJKNCDP_00123	CDS	993	fcl_2	1.1.1.271		GDP-L-fucose synthase
LFJKNCDP_00124	CDS	981				hypothetical protein
LFJKNCDP_00125	CDS	255				hypothetical protein
LFJKNCDP_00126	CDS	540	apt	2.4.2.7		Adenine phosphoribosyltransferase
LFJKNCDP_00127	CDS	1161		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
LFJKNCDP_00128	CDS	381				hypothetical protein
LFJKNCDP_00129	CDS	1545				hypothetical protein
LFJKNCDP_00130	CDS	234	lspA	3.4.23.36		Lipoprotein signal peptidase
LFJKNCDP_00131	CDS	933				hypothetical protein
LFJKNCDP_00132	CDS	981				hypothetical protein
LFJKNCDP_00133	CDS	609	TSFM			Elongation factor Ts, mitochondrial
