#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_4 flag=1 multi=2.6342 len=2210	36.6824	2210	0.0000	100.0000	2210	358	449	0.3044	36	14.14
k105_86885 flag=1 multi=3.0000 len=1588	14.4918	1588	0.0000	100.0000	1588	111	120	0.6535	14	9.60
k105_19 flag=1 multi=2.9895 len=1813	7.6917	1813	0.0000	99.8897	1811	70	69	0.2712	7	3.76
k105_29 flag=0 multi=3.0000 len=2704	8.5067	2704	0.0000	99.5932	2693	114	115	0.2879	8	2.46
k105_32 flag=0 multi=3.3177 len=1745	50.3880	1745	0.0000	100.0000	1745	433	453	0.3590	49	8.59
k105_86920 flag=0 multi=3.9832 len=1896	21.3418	1896	0.0000	100.0000	1896	212	191	0.3630	16	15.81
k105_46 flag=0 multi=12.0927 len=2229	25.2230	2229	0.0000	100.0000	2229	281	282	0.4160	25	8.53
k105_86938 flag=0 multi=9.9542 len=2068	22.1673	2068	0.0000	100.0000	2068	232	231	0.4364	22	4.08
k105_51 flag=1 multi=3.0000 len=5162	7.6269	5162	0.0000	100.0000	5162	194	199	0.4153	8	2.97
k105_53 flag=0 multi=8.6628 len=2368	102.4058	2368	0.0000	100.0000	2368	1131	1287	0.3686	50	128.86
k105_67 flag=1 multi=4.0000 len=2637	16.9810	2637	0.0000	100.0000	2637	212	235	0.2792	17	4.95
k105_69 flag=1 multi=3.0000 len=3756	9.3051	3756	0.0000	100.0000	3756	172	178	0.4606	9	3.57
k105_86943 flag=1 multi=8.0000 len=20073	13.4834	20073	0.0000	100.0000	20073	1343	1348	0.4079	13	4.45
k105_88 flag=1 multi=3.0000 len=1566	5.2050	1566	0.0000	100.0000	1566	41	41	0.5202	5	1.82
k105_86956 flag=1 multi=5.0000 len=6599	8.5098	6599	0.0000	98.8332	6522	280	281	0.4783	9	3.41
k105_86958 flag=1 multi=5.7480 len=2395	23.2852	2395	0.0000	100.0000	2395	279	284	0.5077	23	4.99
k105_97 flag=1 multi=3.0000 len=1647	8.8282	1647	0.0000	99.2714	1635	72	74	0.4704	9	3.48
k105_86961 flag=0 multi=11.4425 len=2505	48.0244	2505	0.0000	100.0000	2505	614	604	0.6333	47	10.96
k105_105 flag=1 multi=4.0000 len=1695	6.6289	1695	0.0000	99.8820	1693	55	57	0.5821	6	2.65
k105_86964 flag=0 multi=64.2256 len=3004	199.7623	3004	0.0000	100.0000	3004	3038	2939	0.3755	183	72.53
k105_106 flag=0 multi=12.9190 len=1586	27.9981	1586	0.0000	100.0000	1586	217	222	0.3093	28	10.84
k105_109 flag=0 multi=65.0956 len=1632	248.4473	1632	0.0000	100.0000	1632	1984	2060	0.3772	264	52.40
k105_117 flag=1 multi=5.5215 len=2082	17.9044	2082	0.0000	100.0000	2082	187	188	0.5846	17	5.78
k105_86977 flag=1 multi=2.9149 len=1633	19.4617	1633	0.0000	100.0000	1633	154	162	0.3333	19	6.71
k105_119 flag=0 multi=41.7351 len=2174	269.8031	2174	0.0000	100.0000	2174	2916	2915	0.3764	259	182.08
k105_124 flag=1 multi=3.0000 len=2013	6.2285	2013	0.0000	100.0000	2013	62	63	0.5058	6	2.73
k105_127 flag=1 multi=5.4421 len=1600	17.4731	1600	0.0000	100.0000	1600	138	143	0.5624	18	4.83
k105_86997 flag=0 multi=7.9064 len=1601	36.6352	1601	0.0000	100.0000	1601	292	303	0.2959	37	5.67
k105_132 flag=1 multi=3.0000 len=4376	8.8871	4376	0.0000	99.8857	4371	190	196	0.4085	9	3.76
k105_135 flag=1 multi=2.9460 len=1845	10.0797	1845	0.0000	100.0000	1845	95	92	0.3826	10	3.29
k105_144 flag=0 multi=90.5177 len=3837	230.6093	3837	0.0000	100.0000	3837	4362	4436	0.3529	238	52.81
k105_156 flag=0 multi=4.8737 len=3176	18.4323	3176	0.0000	100.0000	3176	293	294	0.4616	17	6.67
k105_158 flag=0 multi=8.8696 len=2497	44.3977	2497	0.0000	100.0000	2497	541	560	0.3351	37	23.39
k105_87036 flag=0 multi=12.3308 len=3989	53.3505	3989	0.0000	100.0000	3989	1078	1071	0.6357	54	9.94
k105_87044 flag=1 multi=3.0000 len=1694	4.8973	1694	0.0000	98.7603	1673	41	42	0.4674	5	2.28
k105_87047 flag=0 multi=4.9813 len=2248	18.9270	2248	0.0000	100.0000	2248	209	220	0.6268	19	4.61
k105_179 flag=0 multi=4.9892 len=3809	31.2392	3809	0.0000	100.0000	3809	576	612	0.3448	19	24.58
k105_87069 flag=1 multi=4.0000 len=3445	10.9074	3445	0.0000	99.2743	3420	187	195	0.6327	10	5.02
k105_192 flag=0 multi=45.4380 len=2776	100.9636	2776	0.0000	100.0000	2776	1407	1385	0.3345	101	19.01
k105_87073 flag=0 multi=11.1289 len=2176	32.3084	2176	0.0000	100.0000	2176	344	349	0.4196	34	14.39
k105_200 flag=1 multi=4.0000 len=1934	9.7906	1934	0.0000	100.0000	1934	95	94	0.4362	10	3.82
k105_87077 flag=0 multi=5.5426 len=2252	62.8313	2252	0.0000	100.0000	2252	717	689	0.3521	68	22.80
k105_201 flag=0 multi=89.5504 len=2407	200.7545	2407	0.0000	100.0000	2407	2402	2395	0.3266	198	79.53
k105_87080 flag=1 multi=5.0000 len=2010	9.6020	2010	0.0000	100.0000	2010	97	97	0.4186	9	3.23
k105_202 flag=1 multi=2.9381 len=2659	7.5980	2659	0.0000	100.0000	2659	100	101	0.2854	7	2.92
k105_208 flag=1 multi=3.5552 len=3419	15.6426	3419	0.0000	100.0000	3419	265	267	0.3512	15	5.69
k105_216 flag=1 multi=3.2584 len=1951	15.5823	1951	0.0000	98.7186	1926	152	150	0.3495	14	7.61
k105_224 flag=1 multi=4.8710 len=1810	12.0177	1810	0.0000	100.0000	1810	110	107	0.2742	12	3.99
k105_87091 flag=0 multi=9.0000 len=9991	19.5730	9991	0.0000	100.0000	9991	980	987	0.6247	19	5.03
k105_87095 flag=1 multi=3.9024 len=4377	12.0377	4377	0.0000	99.2689	4345	259	270	0.5910	12	4.25
k105_234 flag=0 multi=55.8465 len=3688	109.8316	3688	0.0000	100.0000	3688	2032	1984	0.3477	105	87.60
k105_87099 flag=1 multi=6.0000 len=2097	21.0153	2097	0.0000	100.0000	2097	222	230	0.6424	21	5.73
k105_240 flag=1 multi=1.9814 len=1986	7.9320	1986	0.0000	100.0000	1986	78	80	0.4350	8	3.34
k105_87104 flag=0 multi=5.0000 len=6918	14.9144	6918	0.0000	100.0000	6918	525	533	0.6761	15	4.56
k105_248 flag=0 multi=12.3957 len=1907	68.0105	1907	0.0000	100.0000	1907	633	660	0.3185	66	16.95
k105_259 flag=0 multi=9.0859 len=1712	42.7617	1712	0.0000	100.0000	1712	364	365	0.3443	44	10.21
k105_87119 flag=1 multi=2.0000 len=1625	5.8622	1625	0.0000	100.0000	1625	48	48	0.5688	6	1.82
k105_261 flag=0 multi=9.7347 len=3350	24.9281	3350	0.0000	100.0000	3350	418	412	0.3347	24	10.47
k105_87122 flag=1 multi=3.0000 len=2736	6.9510	2736	0.0000	98.5015	2695	91	101	0.6506	7	3.48
k105_265 flag=1 multi=5.0000 len=2887	21.7866	2887	0.0000	100.0000	2887	296	330	0.3872	21	9.06
k105_269 flag=0 multi=4.8048 len=2088	17.4607	2088	0.0000	100.0000	2088	180	185	0.3480	17	4.90
k105_277 flag=1 multi=3.7308 len=1665	20.5700	1665	0.0000	100.0000	1665	160	184	0.2900	21	6.54
k105_281 flag=0 multi=13.7407 len=3946	41.5841	3946	0.0000	100.0000	3946	812	820	0.3268	42	9.23
k105_296 flag=1 multi=2.0000 len=2530	17.1012	2530	0.0000	100.0000	2530	214	218	0.2787	17	5.31
k105_297 flag=1 multi=6.0000 len=1917	10.9864	1917	0.0000	100.0000	1917	107	103	0.4616	10	3.61
k105_307 flag=0 multi=5.8025 len=2171	14.3837	2171	0.0000	98.7103	2143	157	156	0.3612	7	12.51
k105_318 flag=0 multi=10.8963 len=2033	37.0944	2033	0.0000	100.0000	2033	374	378	0.2787	38	8.39
k105_329 flag=1 multi=4.0000 len=3883	16.2264	3883	0.0000	100.0000	3883	316	314	0.4201	16	4.26
k105_349 flag=1 multi=2.9491 len=3957	8.7319	3957	0.0000	100.0000	3957	171	175	0.4326	8	3.33
k105_352 flag=0 multi=64.0942 len=3810	181.0822	3810	0.0000	100.0000	3810	3393	3464	0.3600	135	93.33
k105_359 flag=1 multi=3.0000 len=1686	6.3808	1686	0.0000	100.0000	1686	54	54	0.2904	6	3.06
k105_372 flag=1 multi=3.9543 len=4568	15.4842	4568	0.0000	100.0000	4568	356	350	0.3511	15	5.26
k105_380 flag=1 multi=4.0000 len=3487	8.5787	3487	0.0000	99.6272	3474	150	149	0.4207	9	3.14
k105_401 flag=1 multi=3.0000 len=1671	7.7905	1671	0.0000	95.3920	1594	63	67	0.4764	7	3.97
k105_410 flag=0 multi=7.1992 len=1792	149.6501	1792	0.0000	100.0000	1792	1287	1408	0.3451	147	56.68
k105_419 flag=0 multi=13.8607 len=3221	28.1267	3221	0.0000	100.0000	3221	457	456	0.5566	28	6.65
k105_420 flag=0 multi=20.7611 len=1675	55.3881	1675	0.0000	100.0000	1675	471	453	0.3639	64	27.08
k105_433 flag=0 multi=7.0000 len=10809	12.7476	10809	0.0000	100.0000	10809	681	690	0.3873	12	5.11
k105_443 flag=0 multi=3.8173 len=2048	17.7695	2048	0.0000	100.0000	2048	178	185	0.3177	18	6.32
k105_446 flag=1 multi=3.0000 len=2263	9.4118	2263	0.0000	98.6301	2232	106	107	0.4091	10	3.82
k105_465 flag=0 multi=4.3363 len=3013	34.8775	3013	0.0000	100.0000	3013	525	517	0.3479	23	30.95
k105_471 flag=1 multi=3.9479 len=2641	69.1515	2641	0.0000	100.0000	2641	933	880	0.3513	69	33.46
k105_481 flag=0 multi=12.9107 len=3241	34.9966	3241	0.0000	100.0000	3241	564	566	0.2911	34	10.46
k105_499 flag=1 multi=2.8612 len=2208	15.7115	2208	0.0000	100.0000	2208	169	178	0.2964	16	4.96
