#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_6 flag=0 multi=10.8024 len=2777	55.1422	2777	0.0000	100.0000	2777	770	761	0.3578	54	10.59
k105_12 flag=1 multi=2.0000 len=1800	11.0511	1800	0.0000	100.0000	1800	99	100	0.3795	11	3.29
k105_15 flag=1 multi=2.8786 len=1505	6.7900	1505	0.0000	100.0000	1505	51	55	0.5500	7	2.29
k105_17 flag=0 multi=4.9718 len=1523	29.7531	1523	0.0000	100.0000	1523	222	228	0.3258	30	8.96
k105_81878 flag=1 multi=3.2235 len=3922	22.9039	3922	0.0000	100.0000	3922	450	445	0.4250	24	7.26
k105_18 flag=1 multi=3.7958 len=3611	21.2742	3611	0.0000	100.0000	3611	374	391	0.3350	21	6.25
k105_81882 flag=1 multi=3.0000 len=2781	9.9644	2781	0.0000	100.0000	2781	138	140	0.5198	10	3.00
k105_81886 flag=1 multi=3.9039 len=2726	10.9233	2726	0.0000	98.7161	2691	149	149	0.6093	11	5.24
k105_30 flag=0 multi=3.9876 len=2526	12.9434	2526	0.0000	100.0000	2526	158	169	0.3578	12	5.34
k105_35 flag=0 multi=10.0000 len=1781	31.8450	1781	0.0000	100.0000	1781	286	280	0.2807	31	9.52
k105_81903 flag=1 multi=3.6241 len=3180	18.5126	3180	0.0000	100.0000	3180	288	293	0.6337	19	5.69
k105_81907 flag=1 multi=1.9744 len=3225	9.4778	3225	0.0000	99.8760	3221	154	152	0.5303	9	3.34
k105_81914 flag=1 multi=3.0000 len=1851	9.8136	1851	0.0000	100.0000	1851	92	90	0.5409	10	3.18
k105_54 flag=1 multi=1.9479 len=2272	11.1831	2272	0.0000	100.0000	2272	122	131	0.2807	11	3.21
k105_60 flag=0 multi=5.0000 len=3358	24.3702	3358	0.0000	100.0000	3358	406	409	0.3003	24	6.26
k105_81941 flag=0 multi=4.9685 len=2642	19.1382	2642	0.0000	100.0000	2642	250	257	0.4565	17	8.71
