#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_4 flag=1 multi=2.6342 len=2210	64.7928	2210	0.0000	100.0000	2210	637	793	0.3065	64	24.88
k105_86885 flag=1 multi=3.0000 len=1588	23.1014	1588	0.0000	100.0000	1588	177	193	0.6537	23	14.11
k105_19 flag=1 multi=2.9895 len=1813	12.9713	1813	0.0000	100.0000	1813	117	118	0.2722	13	4.37
k105_29 flag=0 multi=3.0000 len=2704	15.1845	2704	0.0000	100.0000	2704	205	204	0.2888	15	4.56
k105_32 flag=0 multi=3.3177 len=1745	86.4883	1745	0.0000	100.0000	1745	746	771	0.3582	87	15.02
k105_86920 flag=0 multi=3.9832 len=1896	35.2600	1896	0.0000	100.0000	1896	347	319	0.3607	27	21.97
k105_46 flag=0 multi=12.0927 len=2229	44.6142	2229	0.0000	100.0000	2229	496	501	0.4121	45	9.44
k105_86938 flag=0 multi=9.9542 len=2068	38.6132	2068	0.0000	100.0000	2068	401	402	0.4352	39	6.03
k105_51 flag=1 multi=3.0000 len=5162	13.8243	5162	0.0000	100.0000	5162	351	361	0.4148	14	4.06
k105_53 flag=0 multi=8.6628 len=2368	174.0769	2368	0.0000	100.0000	2368	1914	2203	0.3694	86	217.17
k105_67 flag=1 multi=4.0000 len=2637	29.5855	2637	0.0000	100.0000	2637	367	411	0.2770	30	7.58
k105_69 flag=1 multi=3.0000 len=3756	17.1155	3756	0.0000	100.0000	3756	317	326	0.4598	17	4.38
k105_86943 flag=1 multi=8.0000 len=20073	23.2320	20073	0.0000	100.0000	20073	2313	2327	0.4076	23	6.26
k105_88 flag=1 multi=3.0000 len=1566	9.1558	1566	0.0000	100.0000	1566	71	73	0.5154	9	2.76
k105_86956 flag=1 multi=5.0000 len=6599	13.9423	6599	0.0000	100.0000	6599	460	461	0.4779	14	4.07
k105_86958 flag=1 multi=5.7480 len=2395	40.6522	2395	0.0000	100.0000	2395	486	494	0.5076	41	6.34
k105_97 flag=1 multi=3.0000 len=1647	14.7231	1647	0.0000	100.0000	1647	122	123	0.4691	14	4.28
k105_86961 flag=0 multi=11.4425 len=2505	81.2639	2505	0.0000	100.0000	2505	1038	1025	0.6334	82	16.47
k105_105 flag=1 multi=4.0000 len=1695	12.4938	1695	0.0000	100.0000	1695	106	107	0.5811	12	4.60
k105_86964 flag=0 multi=64.2256 len=3004	340.6252	3004	0.0000	100.0000	3004	5167	5026	0.3756	317	118.67
k105_106 flag=0 multi=12.9190 len=1586	47.6097	1586	0.0000	100.0000	1586	377	377	0.3090	47	17.23
k105_109 flag=0 multi=65.0956 len=1632	412.3401	1632	0.0000	100.0000	1632	3285	3427	0.3770	432	90.07
k105_117 flag=1 multi=5.5215 len=2082	28.2027	2082	0.0000	100.0000	2082	293	300	0.5879	27	7.20
k105_86977 flag=1 multi=2.9149 len=1633	29.7446	1633	0.0000	100.0000	1633	240	244	0.3338	30	10.56
k105_119 flag=0 multi=41.7351 len=2174	459.0547	2174	0.0000	100.0000	2174	4951	4978	0.3753	449	310.71
k105_124 flag=1 multi=3.0000 len=2013	10.7804	2013	0.0000	100.0000	2013	108	109	0.5064	11	3.98
k105_127 flag=1 multi=5.4421 len=1600	29.9694	1600	0.0000	100.0000	1600	238	245	0.5657	32	7.95
k105_86997 flag=0 multi=7.9064 len=1601	64.8076	1601	0.0000	100.0000	1601	517	533	0.2950	64	8.60
k105_132 flag=1 multi=3.0000 len=4376	14.8576	4376	0.0000	100.0000	4376	319	327	0.4092	14	4.99
k105_135 flag=1 multi=2.9460 len=1845	17.0043	1845	0.0000	100.0000	1845	160	155	0.3815	17	5.38
k105_144 flag=0 multi=90.5177 len=3837	392.6664	3837	0.0000	100.0000	3837	7405	7577	0.3527	406	86.12
k105_156 flag=0 multi=4.8737 len=3176	33.0891	3176	0.0000	100.0000	3176	527	528	0.4628	31	8.64
k105_158 flag=0 multi=8.8696 len=2497	77.3913	2497	0.0000	100.0000	2497	953	967	0.3342	65	39.97
k105_87036 flag=0 multi=12.3308 len=3989	88.8195	3989	0.0000	100.0000	3989	1794	1794	0.6355	89	14.78
k105_87044 flag=1 multi=3.0000 len=1694	8.9994	1694	0.0000	100.0000	1694	76	77	0.4627	9	2.44
k105_87047 flag=0 multi=4.9813 len=2248	29.6646	2248	0.0000	100.0000	2248	327	347	0.6259	30	6.24
k105_179 flag=0 multi=4.9892 len=3809	52.0042	3809	0.0000	100.0000	3809	956	1025	0.3455	30	38.39
k105_87069 flag=1 multi=4.0000 len=3445	16.3922	3445	0.0000	100.0000	3445	280	296	0.6317	15	6.49
k105_192 flag=0 multi=45.4380 len=2776	172.4978	2776	0.0000	100.0000	2776	2407	2365	0.3344	170	30.13
k105_87073 flag=0 multi=11.1289 len=2176	53.0579	2176	0.0000	100.0000	2176	569	574	0.4207	59	21.65
k105_200 flag=1 multi=4.0000 len=1934	15.3428	1934	0.0000	100.0000	1934	150	149	0.4338	16	3.95
k105_87077 flag=0 multi=5.5426 len=2252	109.2962	2252	0.0000	100.0000	2252	1249	1197	0.3538	115	37.87
k105_201 flag=0 multi=89.5504 len=2407	345.3137	2407	0.0000	100.0000	2407	4144	4116	0.3259	348	129.73
k105_87080 flag=1 multi=5.0000 len=2010	15.2592	2010	0.0000	100.0000	2010	153	157	0.4177	15	4.78
k105_202 flag=1 multi=2.9381 len=2659	12.3377	2659	0.0000	100.0000	2659	163	163	0.2889	12	4.75
k105_208 flag=1 multi=3.5552 len=3419	27.9395	3419	0.0000	100.0000	3419	478	474	0.3494	27	7.70
k105_216 flag=1 multi=3.2584 len=1951	27.9846	1951	0.0000	100.0000	1951	270	273	0.3508	26	12.62
k105_224 flag=1 multi=4.8710 len=1810	20.4309	1810	0.0000	100.0000	1810	185	184	0.2756	20	6.26
k105_87091 flag=0 multi=9.0000 len=9991	32.8740	9991	0.0000	100.0000	9991	1648	1657	0.6256	33	7.55
k105_87095 flag=1 multi=3.9024 len=4377	20.5499	4377	0.0000	100.0000	4377	438	468	0.5885	20	6.54
k105_234 flag=0 multi=55.8465 len=3688	191.0258	3688	0.0000	100.0000	3688	3528	3455	0.3480	177	150.36
k105_87099 flag=1 multi=6.0000 len=2097	36.0811	2097	0.0000	100.0000	2097	381	396	0.6437	37	7.71
k105_240 flag=1 multi=1.9814 len=1986	12.0836	1986	0.0000	100.0000	1986	122	119	0.4288	11	4.39
k105_87104 flag=0 multi=5.0000 len=6918	23.8381	6918	0.0000	100.0000	6918	846	850	0.6738	24	6.15
k105_248 flag=0 multi=12.3957 len=1907	115.0215	1907	0.0000	100.0000	1907	1079	1111	0.3194	114	26.06
